customer_id,industry,company_size,lead_source,inquiry_type
A00093,日用品,小規模,展示会,見積依頼
A00094,化粧品,中規模,展示会,サンプル依頼
A00095,日用品,小規模,Web問い合わせ,サンプル依頼
A00096,食品,中規模,展示会,見積依頼
A00097,その他,小規模,展示会,サンプル依頼
A00098,食品,中規模,Web問い合わせ,情報収集
A00099,日用品,小規模,展示会,情報収集
A00100,日用品,中規模,紹介,資料請求
A00101,化粧品,小規模,Web問い合わせ,資料請求
A00102,研究開発,小規模,Web問い合わせ,資料請求
A00103,食品,小規模,展示会,サンプル依頼
A00104,日用品,大規模,営業開拓,情報収集
A00105,食品,中規模,Web問い合わせ,見積依頼
A00106,化粧品,小規模,展示会,資料請求
A00107,化粧品,小規模,Web問い合わせ,サンプル依頼
A00108,日用品,中規模,展示会,見積依頼
A00109,食品,小規模,紹介,見積依頼
A00110,食品,小規模,Web問い合わせ,情報収集
A00111,化粧品,小規模,展示会,資料請求
A00112,日用品,中規模,営業開拓,情報収集
A00113,食品,中規模,展示会,資料請求
A00114,食品,中規模,営業開拓,資料請求
A00115,日用品,中規模,展示会,資料請求
A00116,その他,小規模,営業開拓,情報収集
A00117,研究開発,小規模,紹介,サンプル依頼
A00118,日用品,小規模,紹介,サンプル依頼
A00119,研究開発,中規模,紹介,サンプル依頼
A00120,化粧品,小規模,Web問い合わせ,資料請求
A00121,研究開発,中規模,展示会,情報収集
A00122,化粧品,大規模,Web問い合わせ,情報収集
A00123,日用品,小規模,展示会,情報収集
A00124,化粧品,小規模,Web問い合わせ,資料請求
A00125,研究開発,小規模,営業開拓,資料請求
A00126,食品,大規模,展示会,資料請求
A00127,その他,小規模,Web問い合わせ,見積依頼
A00128,研究開発,中規模,紹介,サンプル依頼
A00129,その他,小規模,展示会,情報収集
A00130,研究開発,小規模,営業開拓,資料請求
A00131,食品,小規模,Web問い合わせ,見積依頼
A00132,化粧品,大規模,営業開拓,見積依頼
A00133,その他,小規模,Web問い合わせ,情報収集
A00134,化粧品,小規模,営業開拓,資料請求
A00135,その他,小規模,Web問い合わせ,情報収集
A00136,化粧品,中規模,紹介,資料請求
A00137,日用品,大規模,展示会,見積依頼
A00138,日用品,小規模,展示会,見積依頼
A00139,研究開発,中規模,営業開拓,資料請求
A00140,化粧品,大規模,展示会,サンプル依頼
A00141,食品,中規模,Web問い合わせ,サンプル依頼
A00142,日用品,小規模,営業開拓,情報収集
A00143,研究開発,中規模,Web問い合わせ,サンプル依頼
A00144,日用品,小規模,紹介,資料請求
A00145,日用品,小規模,紹介,情報収集
A00146,化粧品,小規模,展示会,見積依頼
A00147,食品,中規模,展示会,サンプル依頼
A00148,日用品,小規模,営業開拓,サンプル依頼
A00149,食品,大規模,展示会,資料請求
A00150,研究開発,中規模,展示会,サンプル依頼
A00151,その他,大規模,紹介,資料請求
A00152,化粧品,大規模,展示会,サンプル依頼
A00153,食品,小規模,営業開拓,サンプル依頼
A00154,化粧品,小規模,Web問い合わせ,資料請求
A00155,日用品,中規模,Web問い合わせ,情報収集
A00156,その他,小規模,展示会,サンプル依頼
A00157,食品,小規模,営業開拓,サンプル依頼
A00158,食品,中規模,展示会,見積依頼
A00159,食品,小規模,Web問い合わせ,情報収集
A00160,食品,中規模,Web問い合わせ,情報収集
A00161,食品,中規模,紹介,見積依頼
A00162,食品,中規模,展示会,資料請求
A00163,研究開発,小規模,営業開拓,情報収集
A00164,食品,中規模,展示会,情報収集
A00165,日用品,中規模,営業開拓,資料請求
A00166,化粧品,中規模,Web問い合わせ,資料請求
A00167,食品,中規模,営業開拓,サンプル依頼
A00168,食品,小規模,営業開拓,資料請求
A00169,その他,小規模,Web問い合わせ,見積依頼
A00170,研究開発,小規模,Web問い合わせ,サンプル依頼
A00171,化粧品,中規模,Web問い合わせ,サンプル依頼
A00172,その他,小規模,Web問い合わせ,サンプル依頼
A00173,研究開発,小規模,展示会,見積依頼
A00174,その他,中規模,展示会,サンプル依頼
A00175,研究開発,小規模,Web問い合わせ,資料請求
A00176,化粧品,中規模,Web問い合わせ,情報収集
A00177,食品,中規模,Web問い合わせ,情報収集
A00178,化粧品,中規模,紹介,サンプル依頼
A00179,日用品,小規模,Web問い合わせ,資料請求
A00180,研究開発,大規模,Web問い合わせ,見積依頼
A00181,化粧品,小規模,営業開拓,サンプル依頼
A00182,日用品,小規模,Web問い合わせ,情報収集
A00183,化粧品,小規模,Web問い合わせ,サンプル依頼
A00184,食品,中規模,紹介,サンプル依頼
A00185,化粧品,大規模,展示会,情報収集
A00186,化粧品,小規模,Web問い合わせ,情報収集
A00187,日用品,中規模,展示会,資料請求
A00188,その他,中規模,展示会,資料請求
A00189,研究開発,中規模,紹介,サンプル依頼
A00190,日用品,中規模,営業開拓,情報収集
A00191,食品,小規模,営業開拓,見積依頼
A00192,化粧品,小規模,展示会,サンプル依頼
A00193,その他,大規模,Web問い合わせ,情報収集
A00194,研究開発,中規模,Web問い合わせ,資料請求
A00195,日用品,大規模,紹介,情報収集
A00196,化粧品,中規模,Web問い合わせ,サンプル依頼
A00197,食品,大規模,展示会,見積依頼
A00198,食品,中規模,紹介,情報収集
A00199,食品,中規模,Web問い合わせ,資料請求
A00200,日用品,大規模,Web問い合わせ,サンプル依頼
A00201,日用品,中規模,展示会,情報収集
A00202,食品,大規模,Web問い合わせ,資料請求
A00203,研究開発,中規模,紹介,サンプル依頼
A00204,化粧品,中規模,Web問い合わせ,情報収集
A00205,その他,中規模,Web問い合わせ,資料請求
A00206,食品,小規模,展示会,資料請求
A00207,化粧品,小規模,紹介,サンプル依頼
A00208,化粧品,中規模,営業開拓,資料請求
A00209,食品,大規模,紹介,サンプル依頼
A00210,食品,小規模,Web問い合わせ,見積依頼
A00211,日用品,小規模,展示会,情報収集
A00212,日用品,大規模,Web問い合わせ,サンプル依頼
A00213,食品,大規模,営業開拓,資料請求
A00214,研究開発,小規模,紹介,情報収集
A00215,化粧品,小規模,Web問い合わせ,サンプル依頼
A00216,化粧品,大規模,紹介,見積依頼
A00217,その他,大規模,紹介,サンプル依頼
A00218,食品,中規模,紹介,資料請求
A00219,その他,中規模,展示会,サンプル依頼
A00220,その他,小規模,Web問い合わせ,情報収集
A00221,研究開発,小規模,Web問い合わせ,情報収集
A00222,化粧品,小規模,Web問い合わせ,情報収集
A00223,食品,小規模,展示会,サンプル依頼
A00224,研究開発,大規模,Web問い合わせ,情報収集
A00225,化粧品,中規模,営業開拓,サンプル依頼
A00226,その他,中規模,Web問い合わせ,情報収集
A00227,化粧品,中規模,展示会,資料請求
A00228,その他,小規模,展示会,情報収集
A00229,食品,小規模,営業開拓,サンプル依頼
A00230,食品,小規模,Web問い合わせ,サンプル依頼
A00231,食品,小規模,展示会,見積依頼
A00232,化粧品,中規模,営業開拓,情報収集
A00233,日用品,大規模,Web問い合わせ,サンプル依頼
A00234,日用品,中規模,営業開拓,資料請求
A00235,その他,小規模,展示会,資料請求
A00236,食品,小規模,Web問い合わせ,見積依頼
A00237,その他,中規模,紹介,情報収集
A00238,化粧品,小規模,Web問い合わせ,見積依頼
A00239,その他,小規模,Web問い合わせ,資料請求
A00240,その他,小規模,Web問い合わせ,サンプル依頼
A00241,食品,中規模,展示会,資料請求
A00242,その他,中規模,展示会,見積依頼
A00243,食品,中規模,営業開拓,情報収集
A00244,食品,大規模,営業開拓,資料請求
A00245,食品,大規模,紹介,資料請求
A00246,その他,小規模,展示会,サンプル依頼
A00247,化粧品,小規模,紹介,見積依頼
A00248,化粧品,中規模,紹介,見積依頼
A00249,化粧品,中規模,展示会,情報収集
A00250,日用品,小規模,展示会,資料請求
A00251,研究開発,小規模,営業開拓,サンプル依頼
A00252,食品,大規模,Web問い合わせ,サンプル依頼
A00253,化粧品,中規模,Web問い合わせ,資料請求
A00254,その他,小規模,Web問い合わせ,見積依頼
A00255,その他,中規模,Web問い合わせ,情報収集
A00256,化粧品,小規模,紹介,サンプル依頼
A00257,化粧品,小規模,Web問い合わせ,資料請求
A00258,日用品,小規模,展示会,サンプル依頼
A00259,食品,中規模,営業開拓,資料請求
A00260,化粧品,大規模,展示会,資料請求
A00261,日用品,小規模,紹介,資料請求
A00262,その他,小規模,営業開拓,資料請求
A00263,食品,小規模,Web問い合わせ,情報収集
A00264,日用品,小規模,営業開拓,サンプル依頼
A00265,研究開発,小規模,営業開拓,資料請求
A00266,日用品,大規模,Web問い合わせ,情報収集
A00267,食品,中規模,展示会,資料請求
A00268,日用品,小規模,Web問い合わせ,サンプル依頼
A00269,化粧品,小規模,営業開拓,資料請求
A00270,研究開発,小規模,紹介,サンプル依頼
A00271,化粧品,小規模,営業開拓,情報収集
A00272,化粧品,小規模,紹介,情報収集
A00273,化粧品,小規模,展示会,情報収集
A00274,研究開発,小規模,紹介,サンプル依頼
A00275,日用品,小規模,展示会,見積依頼
A00276,化粧品,中規模,営業開拓,情報収集
A00277,その他,大規模,紹介,情報収集
A00278,日用品,小規模,展示会,サンプル依頼
A00279,食品,大規模,Web問い合わせ,見積依頼
A00280,食品,小規模,Web問い合わせ,見積依頼
A00281,食品,小規模,Web問い合わせ,資料請求
A00282,化粧品,小規模,展示会,サンプル依頼
A00283,研究開発,小規模,営業開拓,資料請求
A00284,研究開発,小規模,展示会,資料請求
A00285,研究開発,小規模,Web問い合わせ,資料請求
A00286,食品,小規模,営業開拓,サンプル依頼
A00287,その他,小規模,Web問い合わせ,見積依頼
A00288,日用品,小規模,Web問い合わせ,見積依頼
A00289,化粧品,中規模,紹介,情報収集
A00290,化粧品,大規模,紹介,資料請求
A00291,食品,中規模,紹介,資料請求
A00292,日用品,小規模,Web問い合わせ,サンプル依頼
A00293,化粧品,小規模,Web問い合わせ,サンプル依頼
A00294,日用品,小規模,Web問い合わせ,資料請求
A00295,その他,小規模,Web問い合わせ,情報収集
A00296,日用品,中規模,紹介,資料請求
A00297,日用品,小規模,Web問い合わせ,サンプル依頼
A00298,化粧品,中規模,紹介,見積依頼
A00299,化粧品,中規模,営業開拓,見積依頼
A00300,日用品,大規模,Web問い合わせ,情報収集
A00301,食品,小規模,Web問い合わせ,情報収集
A00302,研究開発,小規模,営業開拓,見積依頼
A00303,その他,大規模,営業開拓,情報収集
A00304,食品,中規模,展示会,情報収集
A00305,化粧品,中規模,Web問い合わせ,見積依頼
A00306,研究開発,中規模,Web問い合わせ,資料請求
A00307,化粧品,中規模,営業開拓,サンプル依頼
A00308,化粧品,小規模,営業開拓,資料請求
A00309,研究開発,大規模,Web問い合わせ,資料請求
A00310,その他,小規模,Web問い合わせ,情報収集
A00311,化粧品,小規模,展示会,サンプル依頼
A00312,化粧品,小規模,紹介,資料請求
A00313,その他,小規模,展示会,情報収集
A00314,日用品,小規模,営業開拓,情報収集
A00315,その他,小規模,展示会,サンプル依頼
A00316,その他,小規模,展示会,見積依頼
A00317,化粧品,大規模,営業開拓,情報収集
A00318,日用品,中規模,Web問い合わせ,資料請求
A00319,研究開発,中規模,展示会,見積依頼
A00320,日用品,小規模,Web問い合わせ,サンプル依頼
A00321,日用品,小規模,営業開拓,見積依頼
A00322,食品,大規模,Web問い合わせ,サンプル依頼
A00323,食品,中規模,Web問い合わせ,資料請求
A00324,日用品,小規模,紹介,資料請求
A00325,化粧品,小規模,紹介,資料請求
A00326,研究開発,小規模,営業開拓,資料請求
A00327,日用品,小規模,Web問い合わせ,情報収集
A00328,化粧品,中規模,展示会,資料請求
A00329,食品,中規模,営業開拓,見積依頼
A00330,食品,小規模,営業開拓,資料請求
A00331,化粧品,大規模,Web問い合わせ,見積依頼
A00332,日用品,大規模,Web問い合わせ,情報収集
A00333,日用品,中規模,営業開拓,資料請求
A00334,その他,中規模,Web問い合わせ,見積依頼
A00335,化粧品,大規模,営業開拓,資料請求
A00336,日用品,中規模,紹介,資料請求
A00337,化粧品,大規模,展示会,サンプル依頼
A00338,その他,小規模,展示会,資料請求
A00339,研究開発,中規模,展示会,サンプル依頼
A00340,研究開発,小規模,Web問い合わせ,資料請求
A00341,食品,小規模,Web問い合わせ,見積依頼
A00342,研究開発,中規模,展示会,情報収集
A00343,化粧品,小規模,紹介,情報収集
A00344,化粧品,中規模,Web問い合わせ,資料請求
A00345,化粧品,小規模,Web問い合わせ,情報収集
A00346,化粧品,小規模,Web問い合わせ,資料請求
A00347,食品,小規模,展示会,資料請求
A00348,化粧品,大規模,Web問い合わせ,資料請求
A00349,日用品,中規模,営業開拓,情報収集
A00350,研究開発,中規模,紹介,見積依頼
A00351,食品,大規模,Web問い合わせ,見積依頼
A00352,日用品,小規模,紹介,資料請求
A00353,食品,中規模,営業開拓,サンプル依頼
A00354,日用品,中規模,紹介,サンプル依頼
A00355,化粧品,中規模,Web問い合わせ,情報収集
A00356,その他,小規模,営業開拓,見積依頼
A00357,化粧品,小規模,営業開拓,資料請求
A00358,食品,中規模,展示会,情報収集
A00359,化粧品,大規模,展示会,見積依頼
A00360,化粧品,中規模,展示会,資料請求
A00361,日用品,中規模,営業開拓,サンプル依頼
A00362,その他,小規模,Web問い合わせ,資料請求
A00363,化粧品,中規模,Web問い合わせ,サンプル依頼
A00364,研究開発,中規模,展示会,サンプル依頼
A00365,その他,中規模,Web問い合わせ,見積依頼
A00366,日用品,中規模,展示会,サンプル依頼
A00367,化粧品,大規模,営業開拓,情報収集
A00368,食品,小規模,紹介,見積依頼
A00369,食品,小規模,営業開拓,資料請求
A00370,食品,小規模,展示会,資料請求
A00371,食品,大規模,Web問い合わせ,情報収集
A00372,日用品,小規模,営業開拓,資料請求
A00373,化粧品,小規模,展示会,サンプル依頼
A00374,日用品,中規模,展示会,情報収集
A00375,食品,小規模,営業開拓,資料請求
A00376,化粧品,小規模,展示会,情報収集
A00377,化粧品,大規模,Web問い合わせ,資料請求
A00378,食品,小規模,Web問い合わせ,資料請求
A00379,食品,小規模,紹介,情報収集
A00380,その他,大規模,Web問い合わせ,サンプル依頼
A00381,研究開発,大規模,紹介,情報収集
A00382,食品,中規模,営業開拓,資料請求
A00383,研究開発,小規模,Web問い合わせ,資料請求
A00384,日用品,小規模,営業開拓,情報収集
A00385,食品,中規模,Web問い合わせ,情報収集
A00386,化粧品,中規模,展示会,見積依頼
A00387,その他,小規模,営業開拓,情報収集
A00388,化粧品,中規模,Web問い合わせ,資料請求
A00389,化粧品,中規模,紹介,情報収集
A00390,研究開発,小規模,展示会,資料請求
A00391,食品,小規模,展示会,資料請求
A00392,日用品,小規模,展示会,見積依頼
A00393,化粧品,中規模,展示会,情報収集
A00394,研究開発,小規模,展示会,サンプル依頼
A00395,食品,大規模,Web問い合わせ,情報収集
A00396,食品,小規模,Web問い合わせ,情報収集
A00397,化粧品,中規模,Web問い合わせ,サンプル依頼
A00398,化粧品,大規模,営業開拓,情報収集
A00399,食品,小規模,展示会,サンプル依頼
A00400,化粧品,中規模,展示会,資料請求
A00401,食品,中規模,紹介,情報収集
A00402,食品,中規模,展示会,資料請求
A00403,食品,小規模,営業開拓,見積依頼
A00404,食品,中規模,営業開拓,資料請求
A00405,日用品,中規模,紹介,サンプル依頼
A00406,化粧品,中規模,営業開拓,情報収集
A00407,研究開発,中規模,展示会,サンプル依頼
A00408,化粧品,中規模,展示会,資料請求
A00409,食品,大規模,Web問い合わせ,サンプル依頼
A00410,日用品,中規模,展示会,資料請求
A00411,その他,小規模,Web問い合わせ,サンプル依頼
A00412,化粧品,大規模,Web問い合わせ,情報収集
A00413,その他,大規模,Web問い合わせ,情報収集
A00414,化粧品,小規模,Web問い合わせ,情報収集
A00415,日用品,中規模,展示会,情報収集
A00416,食品,小規模,営業開拓,資料請求
A00417,化粧品,中規模,営業開拓,情報収集
A00418,食品,中規模,Web問い合わせ,サンプル依頼
A00419,化粧品,中規模,Web問い合わせ,情報収集
A00420,食品,中規模,展示会,サンプル依頼
A00421,日用品,小規模,営業開拓,資料請求
A00422,日用品,小規模,Web問い合わせ,情報収集
A00423,食品,中規模,展示会,見積依頼
A00424,食品,中規模,営業開拓,サンプル依頼
A00425,化粧品,小規模,展示会,情報収集
A00426,食品,中規模,紹介,情報収集
A00427,食品,小規模,Web問い合わせ,サンプル依頼
A00428,化粧品,中規模,営業開拓,資料請求
A00429,その他,小規模,紹介,資料請求
A00430,その他,大規模,Web問い合わせ,見積依頼
A00431,化粧品,中規模,営業開拓,サンプル依頼
A00432,化粧品,小規模,営業開拓,サンプル依頼
A00433,その他,大規模,紹介,情報収集
A00434,化粧品,小規模,Web問い合わせ,情報収集
A00435,化粧品,大規模,紹介,情報収集
A00436,その他,小規模,Web問い合わせ,資料請求
A00437,その他,小規模,Web問い合わせ,サンプル依頼
A00438,化粧品,小規模,紹介,資料請求
A00439,日用品,大規模,Web問い合わせ,資料請求
A00440,食品,小規模,営業開拓,資料請求
A00441,食品,中規模,営業開拓,サンプル依頼
A00442,化粧品,小規模,営業開拓,サンプル依頼
A00443,食品,大規模,営業開拓,資料請求
A00444,その他,中規模,展示会,情報収集
A00445,化粧品,小規模,営業開拓,見積依頼
A00446,化粧品,中規模,展示会,サンプル依頼
A00447,その他,小規模,営業開拓,サンプル依頼
A00448,その他,中規模,展示会,資料請求
A00449,研究開発,小規模,紹介,情報収集
A00450,日用品,小規模,展示会,見積依頼
A00451,食品,小規模,Web問い合わせ,情報収集
A00452,食品,大規模,Web問い合わせ,サンプル依頼
A00453,その他,中規模,営業開拓,資料請求
A00454,その他,中規模,営業開拓,資料請求
A00455,化粧品,中規模,営業開拓,情報収集
A00456,研究開発,中規模,Web問い合わせ,見積依頼
A00457,研究開発,小規模,紹介,見積依頼
A00458,化粧品,小規模,Web問い合わせ,サンプル依頼
A00459,食品,中規模,Web問い合わせ,資料請求
A00460,その他,小規模,紹介,情報収集
A00461,化粧品,大規模,Web問い合わせ,サンプル依頼
A00462,日用品,中規模,展示会,資料請求
A00463,化粧品,中規模,展示会,見積依頼
A00464,その他,大規模,営業開拓,情報収集
A00465,日用品,小規模,Web問い合わせ,見積依頼
A00466,化粧品,小規模,Web問い合わせ,資料請求
A00467,化粧品,中規模,Web問い合わせ,資料請求
A00468,化粧品,中規模,展示会,見積依頼
A00469,研究開発,中規模,営業開拓,サンプル依頼
A00470,研究開発,中規模,展示会,サンプル依頼
A00471,化粧品,大規模,営業開拓,サンプル依頼
A00472,日用品,中規模,展示会,サンプル依頼
A00473,食品,中規模,Web問い合わせ,資料請求
A00474,その他,大規模,展示会,資料請求
A00475,食品,小規模,Web問い合わせ,資料請求
A00476,化粧品,中規模,紹介,サンプル依頼
A00477,食品,大規模,営業開拓,サンプル依頼
A00478,その他,小規模,展示会,資料請求
A00479,化粧品,小規模,Web問い合わせ,資料請求
A00480,研究開発,中規模,営業開拓,情報収集
A00481,化粧品,中規模,営業開拓,資料請求
A00482,日用品,小規模,紹介,資料請求
A00483,その他,小規模,Web問い合わせ,見積依頼
A00484,研究開発,大規模,Web問い合わせ,資料請求
A00485,食品,小規模,営業開拓,情報収集
A00486,その他,中規模,展示会,資料請求
A00487,その他,小規模,Web問い合わせ,サンプル依頼
A00488,研究開発,小規模,Web問い合わせ,サンプル依頼
A00489,その他,小規模,Web問い合わせ,情報収集
A00490,食品,小規模,展示会,情報収集
A00491,その他,小規模,営業開拓,資料請求
A00492,化粧品,小規模,営業開拓,見積依頼
A00493,日用品,中規模,Web問い合わせ,資料請求
A00494,化粧品,中規模,展示会,サンプル依頼
A00495,食品,小規模,紹介,サンプル依頼
A00496,化粧品,小規模,Web問い合わせ,資料請求
A00497,研究開発,大規模,Web問い合わせ,見積依頼
A00498,食品,小規模,紹介,資料請求
A00499,日用品,大規模,営業開拓,情報収集
A00500,食品,中規模,展示会,資料請求
A00501,研究開発,中規模,営業開拓,資料請求
A00502,化粧品,小規模,Web問い合わせ,情報収集
A00503,日用品,中規模,紹介,資料請求
A00504,研究開発,中規模,展示会,サンプル依頼
A00505,化粧品,大規模,展示会,見積依頼
A00506,日用品,小規模,Web問い合わせ,サンプル依頼
A00507,食品,大規模,営業開拓,資料請求
A00508,食品,中規模,展示会,情報収集
A00509,研究開発,小規模,Web問い合わせ,情報収集
A00510,化粧品,中規模,Web問い合わせ,情報収集
A00511,食品,大規模,Web問い合わせ,情報収集
A00512,化粧品,大規模,営業開拓,資料請求
A00513,研究開発,小規模,展示会,資料請求
A00514,日用品,中規模,Web問い合わせ,見積依頼
A00515,化粧品,中規模,営業開拓,サンプル依頼
A00516,化粧品,小規模,Web問い合わせ,資料請求
A00517,食品,小規模,展示会,情報収集
A00518,食品,小規模,Web問い合わせ,資料請求
A00519,その他,小規模,紹介,情報収集
A00520,化粧品,小規模,紹介,情報収集
A00521,研究開発,中規模,営業開拓,情報収集
A00522,化粧品,小規模,Web問い合わせ,資料請求
A00523,化粧品,大規模,営業開拓,見積依頼
A00524,研究開発,小規模,Web問い合わせ,サンプル依頼
A00525,研究開発,小規模,Web問い合わせ,資料請求
A00526,日用品,小規模,営業開拓,情報収集
A00527,日用品,小規模,紹介,見積依頼
A00528,研究開発,中規模,Web問い合わせ,資料請求
A00529,その他,中規模,Web問い合わせ,情報収集
A00530,日用品,大規模,紹介,資料請求
A00531,日用品,小規模,紹介,サンプル依頼
A00532,日用品,中規模,Web問い合わせ,サンプル依頼
A00533,日用品,小規模,展示会,資料請求
A00534,化粧品,大規模,紹介,資料請求
A00535,日用品,中規模,展示会,資料請求
A00536,化粧品,小規模,営業開拓,資料請求
A00537,日用品,中規模,Web問い合わせ,資料請求
A00538,化粧品,大規模,Web問い合わせ,情報収集
A00539,化粧品,大規模,営業開拓,資料請求
A00540,化粧品,中規模,Web問い合わせ,資料請求
A00541,日用品,中規模,紹介,資料請求
A00542,化粧品,小規模,紹介,資料請求
A00543,化粧品,大規模,Web問い合わせ,情報収集
A00544,研究開発,小規模,Web問い合わせ,見積依頼
A00545,その他,小規模,Web問い合わせ,サンプル依頼
A00546,研究開発,中規模,展示会,サンプル依頼
A00547,化粧品,小規模,展示会,資料請求
A00548,化粧品,小規模,Web問い合わせ,情報収集
A00549,研究開発,中規模,営業開拓,情報収集
A00550,食品,中規模,紹介,資料請求
A00551,日用品,大規模,営業開拓,資料請求
A00552,食品,大規模,Web問い合わせ,サンプル依頼
A00553,化粧品,中規模,Web問い合わせ,情報収集
A00554,日用品,大規模,紹介,資料請求
A00555,食品,小規模,営業開拓,資料請求
A00556,食品,小規模,営業開拓,サンプル依頼
A00557,化粧品,小規模,展示会,見積依頼
A00558,食品,中規模,Web問い合わせ,見積依頼
A00559,その他,中規模,紹介,サンプル依頼
A00560,その他,大規模,紹介,資料請求
A00561,日用品,大規模,営業開拓,サンプル依頼
A00562,日用品,中規模,紹介,資料請求
A00563,日用品,小規模,Web問い合わせ,サンプル依頼
A00564,化粧品,小規模,営業開拓,資料請求
A00565,研究開発,中規模,紹介,見積依頼
A00566,日用品,小規模,営業開拓,情報収集
A00567,その他,小規模,Web問い合わせ,サンプル依頼
A00568,研究開発,小規模,Web問い合わせ,サンプル依頼
A00569,化粧品,小規模,紹介,情報収集
A00570,日用品,小規模,営業開拓,サンプル依頼
A00571,化粧品,小規模,Web問い合わせ,資料請求
A00572,化粧品,中規模,営業開拓,情報収集
A00573,化粧品,小規模,営業開拓,情報収集
A00574,化粧品,小規模,Web問い合わせ,資料請求
A00575,食品,小規模,Web問い合わせ,情報収集
