customer_id,industry,company_size,lead_source,inquiry_type,contact_count,days_since_contact,stage,contracted
A00061,食品,大規模,Web問い合わせ,情報収集,5,95,接触済,0
A00062,日用品,中規模,紹介,情報収集,1,117,接触済,0
A00063,化粧品,中規模,Web問い合わせ,資料請求,4,113,接触済,0
A00064,研究開発,小規模,営業開拓,情報収集,3,9,接触済,0
A00065,その他,中規模,展示会,資料請求,1,94,接触済,0
A00066,化粧品,中規模,展示会,サンプル依頼,2,85,接触済,0
A00067,化粧品,小規模,Web問い合わせ,資料請求,2,57,接触済,0
A00068,研究開発,大規模,営業開拓,情報収集,4,67,接触済,0
A00069,化粧品,中規模,Web問い合わせ,情報収集,5,66,接触済,0
A00070,日用品,中規模,Web問い合わせ,資料請求,4,72,接触済,0
A00071,研究開発,中規模,営業開拓,見積依頼,4,0,接触済,0
A00072,その他,中規模,紹介,情報収集,0,89,未接触,0
A00073,日用品,小規模,展示会,情報収集,2,2,接触済,0
A00074,食品,小規模,紹介,サンプル依頼,2,1,接触済,0
A00075,化粧品,大規模,Web問い合わせ,資料請求,3,80,接触済,0
A00076,化粧品,中規模,Web問い合わせ,資料請求,4,83,接触済,0
A00077,化粧品,小規模,Web問い合わせ,資料請求,0,26,未接触,0
A00078,日用品,中規模,紹介,資料請求,2,70,接触済,0
A00079,化粧品,小規模,展示会,資料請求,2,107,接触済,0
A00080,研究開発,大規模,Web問い合わせ,資料請求,1,22,接触済,0
A00081,その他,小規模,Web問い合わせ,見積依頼,1,109,接触済,0
A00082,化粧品,小規模,展示会,見積依頼,2,17,接触済,0
A00083,日用品,小規模,展示会,見積依頼,2,99,接触済,0
A00084,その他,小規模,営業開拓,情報収集,3,11,接触済,0
A00085,化粧品,中規模,営業開拓,情報収集,2,78,接触済,0
A00086,その他,中規模,営業開拓,情報収集,1,40,接触済,0
A00087,研究開発,小規模,Web問い合わせ,資料請求,5,7,接触済,0
A00088,研究開発,中規模,Web問い合わせ,資料請求,3,49,接触済,0
A00089,化粧品,中規模,営業開拓,資料請求,1,51,接触済,0
A00090,研究開発,中規模,展示会,見積依頼,2,6,接触済,0
A00091,研究開発,小規模,営業開拓,見積依頼,10,4,接触済,0
A00092,その他,小規模,営業開拓,資料請求,3,59,接触済,0
A00093,日用品,小規模,展示会,見積依頼,0,81,未接触,0
A00094,化粧品,中規模,展示会,サンプル依頼,3,4,接触済,0
A00095,日用品,小規模,Web問い合わせ,サンプル依頼,1,88,接触済,0
A00096,食品,中規模,展示会,見積依頼,2,61,接触済,0
A00097,その他,小規模,展示会,サンプル依頼,3,100,接触済,0
A00098,食品,中規模,Web問い合わせ,情報収集,3,65,接触済,0
A00099,日用品,小規模,展示会,情報収集,3,58,接触済,0
A00100,日用品,中規模,紹介,資料請求,2,83,接触済,0
A00101,化粧品,小規模,Web問い合わせ,資料請求,2,18,接触済,0
A00102,研究開発,小規模,Web問い合わせ,資料請求,2,22,接触済,0
A00103,食品,小規模,展示会,サンプル依頼,5,32,接触済,0
A00104,日用品,大規模,営業開拓,情報収集,2,76,接触済,0
A00105,食品,中規模,Web問い合わせ,見積依頼,0,90,未接触,0
A00106,化粧品,小規模,展示会,資料請求,5,64,接触済,0
A00107,化粧品,小規模,Web問い合わせ,サンプル依頼,3,57,接触済,0
A00108,日用品,中規模,展示会,見積依頼,2,73,接触済,0
A00109,食品,小規模,紹介,見積依頼,1,1,接触済,0
A00110,食品,小規模,Web問い合わせ,情報収集,3,36,接触済,0
A00111,化粧品,小規模,展示会,資料請求,4,21,接触済,0
A00112,日用品,中規模,営業開拓,情報収集,0,103,未接触,0
A00113,食品,中規模,展示会,資料請求,2,112,接触済,0
A00114,食品,中規模,営業開拓,資料請求,1,85,接触済,0
A00115,日用品,中規模,展示会,資料請求,2,29,接触済,0
A00116,その他,小規模,営業開拓,情報収集,2,86,接触済,0
A00117,研究開発,小規模,紹介,サンプル依頼,3,29,接触済,0
A00118,日用品,小規模,紹介,サンプル依頼,4,53,接触済,0
A00119,研究開発,中規模,紹介,サンプル依頼,1,99,接触済,0
A00120,化粧品,小規模,Web問い合わせ,資料請求,0,35,未接触,0
A00121,研究開発,中規模,展示会,情報収集,4,46,接触済,0
A00122,化粧品,大規模,Web問い合わせ,情報収集,4,50,接触済,0
A00123,日用品,小規模,展示会,情報収集,1,73,接触済,0
A00124,化粧品,小規模,Web問い合わせ,資料請求,5,119,接触済,0
A00125,研究開発,小規模,営業開拓,資料請求,1,70,接触済,0
A00126,食品,大規模,展示会,資料請求,2,2,接触済,0
A00127,その他,小規模,Web問い合わせ,見積依頼,3,111,契約,1
A00128,研究開発,中規模,紹介,サンプル依頼,6,94,接触済,0
A00129,その他,小規模,展示会,情報収集,2,9,接触済,0
A00130,研究開発,小規模,営業開拓,資料請求,3,24,接触済,0
A00131,食品,小規模,Web問い合わせ,見積依頼,2,38,接触済,0
A00132,化粧品,大規模,営業開拓,見積依頼,4,22,商談,0
A00133,その他,小規模,Web問い合わせ,情報収集,2,93,接触済,0
A00134,化粧品,小規模,営業開拓,資料請求,3,3,接触済,0
A00135,その他,小規模,Web問い合わせ,情報収集,2,41,接触済,0
A00136,化粧品,中規模,紹介,資料請求,4,104,接触済,0
A00137,日用品,大規模,展示会,見積依頼,0,35,未接触,0
A00138,日用品,小規模,展示会,見積依頼,1,97,接触済,0
A00139,研究開発,中規模,営業開拓,資料請求,5,15,接触済,0
A00140,化粧品,大規模,展示会,サンプル依頼,4,31,契約,1
A00141,食品,中規模,Web問い合わせ,サンプル依頼,3,11,接触済,0
A00142,日用品,小規模,営業開拓,情報収集,1,73,接触済,0
A00143,研究開発,中規模,Web問い合わせ,サンプル依頼,2,108,接触済,0
A00144,日用品,小規模,紹介,資料請求,3,91,接触済,0
A00145,日用品,小規模,紹介,情報収集,5,102,接触済,0
A00146,化粧品,小規模,展示会,見積依頼,5,74,接触済,0
A00147,食品,中規模,展示会,サンプル依頼,2,15,接触済,0
A00148,日用品,小規模,営業開拓,サンプル依頼,4,102,接触済,0
A00149,食品,大規模,展示会,資料請求,2,74,接触済,0
A00150,研究開発,中規模,展示会,サンプル依頼,3,18,契約,1
A00151,その他,大規模,紹介,資料請求,1,85,接触済,0
A00152,化粧品,大規模,展示会,サンプル依頼,2,68,接触済,0
A00153,食品,小規模,営業開拓,サンプル依頼,2,26,接触済,0
A00154,化粧品,小規模,Web問い合わせ,資料請求,0,54,未接触,0
A00155,日用品,中規模,Web問い合わせ,情報収集,2,59,接触済,0
A00156,その他,小規模,展示会,サンプル依頼,3,33,接触済,0
A00157,食品,小規模,営業開拓,サンプル依頼,2,2,接触済,0
A00158,食品,中規模,展示会,見積依頼,2,44,接触済,0
A00159,食品,小規模,Web問い合わせ,情報収集,4,92,接触済,0
A00160,食品,中規模,Web問い合わせ,情報収集,3,98,接触済,0
A00161,食品,中規模,紹介,見積依頼,3,40,接触済,0
A00162,食品,中規模,展示会,資料請求,3,42,接触済,0
A00163,研究開発,小規模,営業開拓,情報収集,1,36,接触済,0
A00164,食品,中規模,展示会,情報収集,5,17,接触済,0
A00165,日用品,中規模,営業開拓,資料請求,3,9,接触済,0
A00166,化粧品,中規模,Web問い合わせ,資料請求,2,113,接触済,0
A00167,食品,中規模,営業開拓,サンプル依頼,2,56,接触済,0
A00168,食品,小規模,営業開拓,資料請求,5,26,接触済,0
A00169,その他,小規模,Web問い合わせ,見積依頼,6,107,接触済,0
A00170,研究開発,小規模,Web問い合わせ,サンプル依頼,2,81,接触済,0
A00171,化粧品,中規模,Web問い合わせ,サンプル依頼,4,30,接触済,0
A00172,その他,小規模,Web問い合わせ,サンプル依頼,1,100,接触済,0
A00173,研究開発,小規模,展示会,見積依頼,1,82,接触済,0
A00174,その他,中規模,展示会,サンプル依頼,1,70,接触済,0
A00175,研究開発,小規模,Web問い合わせ,資料請求,2,98,接触済,0
A00176,化粧品,中規模,Web問い合わせ,情報収集,3,79,接触済,0
A00177,食品,中規模,Web問い合わせ,情報収集,0,12,未接触,0
A00178,化粧品,中規模,紹介,サンプル依頼,3,28,商談,0
A00179,日用品,小規模,Web問い合わせ,資料請求,1,85,接触済,0
A00180,研究開発,大規模,Web問い合わせ,見積依頼,0,114,未接触,0
A00181,化粧品,小規模,営業開拓,サンプル依頼,3,110,接触済,0
A00182,日用品,小規模,Web問い合わせ,情報収集,2,10,接触済,0
A00183,化粧品,小規模,Web問い合わせ,サンプル依頼,5,80,接触済,0
A00184,食品,中規模,紹介,サンプル依頼,4,29,接触済,0
A00185,化粧品,大規模,展示会,情報収集,3,19,接触済,0
A00186,化粧品,小規模,Web問い合わせ,情報収集,0,56,未接触,0
A00187,日用品,中規模,展示会,資料請求,3,51,接触済,0
A00188,その他,中規模,展示会,資料請求,1,52,接触済,0
A00189,研究開発,中規模,紹介,サンプル依頼,3,30,接触済,0
A00190,日用品,中規模,営業開拓,情報収集,2,31,接触済,0
A00191,食品,小規模,営業開拓,見積依頼,1,102,接触済,0
A00192,化粧品,小規模,展示会,サンプル依頼,2,114,接触済,0
A00193,その他,大規模,Web問い合わせ,情報収集,0,90,未接触,0
A00194,研究開発,中規模,Web問い合わせ,資料請求,0,26,契約,1
A00195,日用品,大規模,紹介,情報収集,3,23,接触済,0
A00196,化粧品,中規模,Web問い合わせ,サンプル依頼,4,103,接触済,0
A00197,食品,大規模,展示会,見積依頼,3,78,接触済,0
A00198,食品,中規模,紹介,情報収集,2,113,接触済,0
A00199,食品,中規模,Web問い合わせ,資料請求,1,118,接触済,0
A00200,日用品,大規模,Web問い合わせ,サンプル依頼,4,9,接触済,0
A00201,日用品,中規模,展示会,情報収集,4,64,接触済,0
A00202,食品,大規模,Web問い合わせ,資料請求,3,47,接触済,0
A00203,研究開発,中規模,紹介,サンプル依頼,0,8,未接触,0
A00204,化粧品,中規模,Web問い合わせ,情報収集,4,19,接触済,0
A00205,その他,中規模,Web問い合わせ,資料請求,3,90,接触済,0
A00206,食品,小規模,展示会,資料請求,4,53,接触済,0
A00207,化粧品,小規模,紹介,サンプル依頼,1,71,接触済,0
A00208,化粧品,中規模,営業開拓,資料請求,1,113,接触済,0
A00209,食品,大規模,紹介,サンプル依頼,3,91,接触済,0
A00210,食品,小規模,Web問い合わせ,見積依頼,2,27,接触済,0
A00211,日用品,小規模,展示会,情報収集,5,23,接触済,0
A00212,日用品,大規模,Web問い合わせ,サンプル依頼,2,103,契約,1
A00213,食品,大規模,営業開拓,資料請求,2,5,接触済,0
A00214,研究開発,小規模,紹介,情報収集,4,87,契約,1
A00215,化粧品,小規模,Web問い合わせ,サンプル依頼,1,27,接触済,0
A00216,化粧品,大規模,紹介,見積依頼,3,88,商談,0
A00217,その他,大規模,紹介,サンプル依頼,1,5,接触済,0
A00218,食品,中規模,紹介,資料請求,3,76,接触済,0
A00219,その他,中規模,展示会,サンプル依頼,1,65,接触済,0
A00220,その他,小規模,Web問い合わせ,情報収集,4,63,接触済,0
A00221,研究開発,小規模,Web問い合わせ,情報収集,1,14,接触済,0
A00222,化粧品,小規模,Web問い合わせ,情報収集,4,27,接触済,0
A00223,食品,小規模,展示会,サンプル依頼,0,34,未接触,0
A00224,研究開発,大規模,Web問い合わせ,情報収集,2,10,接触済,0
A00225,化粧品,中規模,営業開拓,サンプル依頼,3,96,接触済,0
A00226,その他,中規模,Web問い合わせ,情報収集,2,75,接触済,0
A00227,化粧品,中規模,展示会,資料請求,4,95,接触済,0
A00228,その他,小規模,展示会,情報収集,4,102,接触済,0
A00229,食品,小規模,営業開拓,サンプル依頼,1,73,接触済,0
A00230,食品,小規模,Web問い合わせ,サンプル依頼,0,68,未接触,0
A00231,食品,小規模,展示会,見積依頼,5,6,接触済,0
A00232,化粧品,中規模,営業開拓,情報収集,2,77,接触済,0
A00233,日用品,大規模,Web問い合わせ,サンプル依頼,2,28,接触済,0
A00234,日用品,中規模,営業開拓,資料請求,1,52,接触済,0
A00235,その他,小規模,展示会,資料請求,4,39,接触済,0
A00236,食品,小規模,Web問い合わせ,見積依頼,1,58,接触済,0
A00237,その他,中規模,紹介,情報収集,1,101,接触済,0
A00238,化粧品,小規模,Web問い合わせ,見積依頼,3,10,接触済,0
A00239,その他,小規模,Web問い合わせ,資料請求,1,75,接触済,0
A00240,その他,小規模,Web問い合わせ,サンプル依頼,6,27,接触済,0
A00241,食品,中規模,展示会,資料請求,5,69,接触済,0
A00242,その他,中規模,展示会,見積依頼,1,92,接触済,0
A00243,食品,中規模,営業開拓,情報収集,2,73,接触済,0
A00244,食品,大規模,営業開拓,資料請求,3,47,接触済,0
A00245,食品,大規模,紹介,資料請求,3,58,接触済,0
A00246,その他,小規模,展示会,サンプル依頼,1,74,接触済,0
A00247,化粧品,小規模,紹介,見積依頼,2,13,契約,1
A00248,化粧品,中規模,紹介,見積依頼,4,107,契約,1
A00249,化粧品,中規模,展示会,情報収集,3,28,接触済,0
A00250,日用品,小規模,展示会,資料請求,8,37,接触済,0
A00251,研究開発,小規模,営業開拓,サンプル依頼,5,28,接触済,0
A00252,食品,大規模,Web問い合わせ,サンプル依頼,2,19,接触済,0
A00253,化粧品,中規模,Web問い合わせ,資料請求,4,55,接触済,0
A00254,その他,小規模,Web問い合わせ,見積依頼,5,47,接触済,0
A00255,その他,中規模,Web問い合わせ,情報収集,5,30,接触済,0
A00256,化粧品,小規模,紹介,サンプル依頼,2,95,接触済,0
A00257,化粧品,小規模,Web問い合わせ,資料請求,3,107,接触済,0
A00258,日用品,小規模,展示会,サンプル依頼,3,52,接触済,0
A00259,食品,中規模,営業開拓,資料請求,4,23,接触済,0
A00260,化粧品,大規模,展示会,資料請求,2,54,接触済,0
A00261,日用品,小規模,紹介,資料請求,2,117,接触済,0
A00262,その他,小規模,営業開拓,資料請求,3,84,接触済,0
A00263,食品,小規模,Web問い合わせ,情報収集,4,75,接触済,0
A00264,日用品,小規模,営業開拓,サンプル依頼,1,73,接触済,0
A00265,研究開発,小規模,営業開拓,資料請求,4,73,接触済,0
A00266,日用品,大規模,Web問い合わせ,情報収集,0,61,未接触,0
A00267,食品,中規模,展示会,資料請求,1,24,接触済,0
A00268,日用品,小規模,Web問い合わせ,サンプル依頼,0,95,未接触,0
A00269,化粧品,小規模,営業開拓,資料請求,2,48,接触済,0
A00270,研究開発,小規模,紹介,サンプル依頼,5,101,接触済,0
A00271,化粧品,小規模,営業開拓,情報収集,3,52,接触済,0
A00272,化粧品,小規模,紹介,情報収集,2,113,契約,1
A00273,化粧品,小規模,展示会,情報収集,1,89,接触済,0
A00274,研究開発,小規模,紹介,サンプル依頼,2,78,接触済,0
A00275,日用品,小規模,展示会,見積依頼,5,102,接触済,0
A00276,化粧品,中規模,営業開拓,情報収集,2,36,接触済,0
A00277,その他,大規模,紹介,情報収集,2,38,接触済,0
A00278,日用品,小規模,展示会,サンプル依頼,2,117,接触済,0
A00279,食品,大規模,Web問い合わせ,見積依頼,4,10,接触済,0
A00280,食品,小規模,Web問い合わせ,見積依頼,3,90,接触済,0
A00281,食品,小規模,Web問い合わせ,資料請求,5,24,接触済,0
A00282,化粧品,小規模,展示会,サンプル依頼,2,113,接触済,0
A00283,研究開発,小規模,営業開拓,資料請求,3,98,接触済,0
A00284,研究開発,小規模,展示会,資料請求,4,57,接触済,0
A00285,研究開発,小規模,Web問い合わせ,資料請求,0,114,未接触,0
A00286,食品,小規模,営業開拓,サンプル依頼,1,4,接触済,0
A00287,その他,小規模,Web問い合わせ,見積依頼,2,107,接触済,0
A00288,日用品,小規模,Web問い合わせ,見積依頼,1,6,接触済,0
A00289,化粧品,中規模,紹介,情報収集,2,66,接触済,0
A00290,化粧品,大規模,紹介,資料請求,3,82,接触済,0
A00291,食品,中規模,紹介,資料請求,3,71,接触済,0
A00292,日用品,小規模,Web問い合わせ,サンプル依頼,4,13,接触済,0
A00293,化粧品,小規模,Web問い合わせ,サンプル依頼,0,111,未接触,0
A00294,日用品,小規模,Web問い合わせ,資料請求,1,7,接触済,0
A00295,その他,小規模,Web問い合わせ,情報収集,3,104,契約,1
A00296,日用品,中規模,紹介,資料請求,1,109,接触済,0
A00297,日用品,小規模,Web問い合わせ,サンプル依頼,5,35,接触済,0
A00298,化粧品,中規模,紹介,見積依頼,2,66,商談,0
A00299,化粧品,中規模,営業開拓,見積依頼,1,99,接触済,0
A00300,日用品,大規模,Web問い合わせ,情報収集,1,73,接触済,0
A00301,食品,小規模,Web問い合わせ,情報収集,1,31,接触済,0
A00302,研究開発,小規模,営業開拓,見積依頼,4,91,契約,1
A00303,その他,大規模,営業開拓,情報収集,1,74,接触済,0
A00304,食品,中規模,展示会,情報収集,5,55,接触済,0
A00305,化粧品,中規模,Web問い合わせ,見積依頼,1,96,接触済,0
A00306,研究開発,中規模,Web問い合わせ,資料請求,2,97,接触済,0
A00307,化粧品,中規模,営業開拓,サンプル依頼,2,60,接触済,0
A00308,化粧品,小規模,営業開拓,資料請求,3,3,契約,1
A00309,研究開発,大規模,Web問い合わせ,資料請求,1,30,接触済,0
A00310,その他,小規模,Web問い合わせ,情報収集,2,112,接触済,0
A00311,化粧品,小規模,展示会,サンプル依頼,1,119,接触済,0
A00312,化粧品,小規模,紹介,資料請求,0,38,未接触,0
A00313,その他,小規模,展示会,情報収集,2,60,接触済,0
A00314,日用品,小規模,営業開拓,情報収集,4,62,接触済,0
A00315,その他,小規模,展示会,サンプル依頼,6,28,契約,1
A00316,その他,小規模,展示会,見積依頼,4,25,接触済,0
A00317,化粧品,大規模,営業開拓,情報収集,2,114,接触済,0
A00318,日用品,中規模,Web問い合わせ,資料請求,2,44,接触済,0
A00319,研究開発,中規模,展示会,見積依頼,2,76,接触済,0
A00320,日用品,小規模,Web問い合わせ,サンプル依頼,2,4,接触済,0
A00321,日用品,小規模,営業開拓,見積依頼,3,9,接触済,0
A00322,食品,大規模,Web問い合わせ,サンプル依頼,2,88,接触済,0
A00323,食品,中規模,Web問い合わせ,資料請求,2,88,接触済,0
A00324,日用品,小規模,紹介,資料請求,3,10,接触済,0
A00325,化粧品,小規模,紹介,資料請求,2,2,契約,1
A00326,研究開発,小規模,営業開拓,資料請求,2,18,接触済,0
A00327,日用品,小規模,Web問い合わせ,情報収集,0,3,未接触,0
A00328,化粧品,中規模,展示会,資料請求,1,81,接触済,0
A00329,食品,中規模,営業開拓,見積依頼,3,50,接触済,0
A00330,食品,小規模,営業開拓,資料請求,3,90,接触済,0
A00331,化粧品,大規模,Web問い合わせ,見積依頼,1,27,接触済,0
A00332,日用品,大規模,Web問い合わせ,情報収集,3,1,接触済,0
A00333,日用品,中規模,営業開拓,資料請求,6,36,接触済,0
A00334,その他,中規模,Web問い合わせ,見積依頼,2,101,接触済,0
A00335,化粧品,大規模,営業開拓,資料請求,1,83,接触済,0
A00336,日用品,中規模,紹介,資料請求,0,119,未接触,0
A00337,化粧品,大規模,展示会,サンプル依頼,4,68,接触済,0
A00338,その他,小規模,展示会,資料請求,4,75,接触済,0
A00339,研究開発,中規模,展示会,サンプル依頼,1,35,接触済,0
A00340,研究開発,小規模,Web問い合わせ,資料請求,6,112,接触済,0
A00341,食品,小規模,Web問い合わせ,見積依頼,3,58,接触済,0
A00342,研究開発,中規模,展示会,情報収集,3,104,接触済,0
A00343,化粧品,小規模,紹介,情報収集,1,21,接触済,0
A00344,化粧品,中規模,Web問い合わせ,資料請求,0,70,未接触,0
A00345,化粧品,小規模,Web問い合わせ,情報収集,0,36,未接触,0
A00346,化粧品,小規模,Web問い合わせ,資料請求,1,16,接触済,0
A00347,食品,小規模,展示会,資料請求,3,107,接触済,0
A00348,化粧品,大規模,Web問い合わせ,資料請求,3,75,接触済,0
A00349,日用品,中規模,営業開拓,情報収集,4,41,接触済,0
A00350,研究開発,中規模,紹介,見積依頼,5,84,接触済,0
A00351,食品,大規模,Web問い合わせ,見積依頼,1,51,接触済,0
A00352,日用品,小規模,紹介,資料請求,0,53,未接触,0
A00353,食品,中規模,営業開拓,サンプル依頼,1,71,接触済,0
A00354,日用品,中規模,紹介,サンプル依頼,4,17,接触済,0
A00355,化粧品,中規模,Web問い合わせ,情報収集,5,93,接触済,0
A00356,その他,小規模,営業開拓,見積依頼,4,21,接触済,0
A00357,化粧品,小規模,営業開拓,資料請求,2,95,接触済,0
A00358,食品,中規模,展示会,情報収集,3,69,接触済,0
A00359,化粧品,大規模,展示会,見積依頼,3,76,接触済,0
A00360,化粧品,中規模,展示会,資料請求,5,106,接触済,0
A00361,日用品,中規模,営業開拓,サンプル依頼,4,8,接触済,0
A00362,その他,小規模,Web問い合わせ,資料請求,2,25,接触済,0
A00363,化粧品,中規模,Web問い合わせ,サンプル依頼,5,4,商談,0
A00364,研究開発,中規模,展示会,サンプル依頼,3,98,接触済,0
A00365,その他,中規模,Web問い合わせ,見積依頼,2,51,接触済,0
A00366,日用品,中規模,展示会,サンプル依頼,3,72,接触済,0
A00367,化粧品,大規模,営業開拓,情報収集,1,112,接触済,0
A00368,食品,小規模,紹介,見積依頼,0,83,契約,1
A00369,食品,小規模,営業開拓,資料請求,2,53,接触済,0
A00370,食品,小規模,展示会,資料請求,4,0,接触済,0
A00371,食品,大規模,Web問い合わせ,情報収集,3,6,接触済,0
A00372,日用品,小規模,営業開拓,資料請求,2,37,接触済,0
A00373,化粧品,小規模,展示会,サンプル依頼,1,23,接触済,0
A00374,日用品,中規模,展示会,情報収集,4,38,接触済,0
A00375,食品,小規模,営業開拓,資料請求,4,31,接触済,0
A00376,化粧品,小規模,展示会,情報収集,5,35,接触済,0
A00377,化粧品,大規模,Web問い合わせ,資料請求,0,111,未接触,0
A00378,食品,小規模,Web問い合わせ,資料請求,3,90,接触済,0
A00379,食品,小規模,紹介,情報収集,4,30,契約,1
A00380,その他,大規模,Web問い合わせ,サンプル依頼,4,60,契約,1
A00381,研究開発,大規模,紹介,情報収集,7,0,商談,0
A00382,食品,中規模,営業開拓,資料請求,4,109,接触済,0
A00383,研究開発,小規模,Web問い合わせ,資料請求,4,74,接触済,0
A00384,日用品,小規模,営業開拓,情報収集,2,110,接触済,0
A00385,食品,中規模,Web問い合わせ,情報収集,2,3,接触済,0
A00386,化粧品,中規模,展示会,見積依頼,2,114,契約,1
A00387,その他,小規模,営業開拓,情報収集,3,20,接触済,0
A00388,化粧品,中規模,Web問い合わせ,資料請求,5,21,接触済,0
A00389,化粧品,中規模,紹介,情報収集,4,34,接触済,0
A00390,研究開発,小規模,展示会,資料請求,0,106,未接触,0
A00391,食品,小規模,展示会,資料請求,6,0,接触済,0
A00392,日用品,小規模,展示会,見積依頼,3,118,接触済,0
A00393,化粧品,中規模,展示会,情報収集,3,49,接触済,0
A00394,研究開発,小規模,展示会,サンプル依頼,2,36,接触済,0
A00395,食品,大規模,Web問い合わせ,情報収集,6,110,接触済,0
A00396,食品,小規模,Web問い合わせ,情報収集,3,10,接触済,0
A00397,化粧品,中規模,Web問い合わせ,サンプル依頼,2,114,接触済,0
A00398,化粧品,大規模,営業開拓,情報収集,3,94,接触済,0
A00399,食品,小規模,展示会,サンプル依頼,3,38,接触済,0
A00400,化粧品,中規模,展示会,資料請求,1,3,接触済,0
A00401,食品,中規模,紹介,情報収集,0,109,未接触,0
A00402,食品,中規模,展示会,資料請求,1,68,接触済,0
A00403,食品,小規模,営業開拓,見積依頼,1,120,接触済,0
A00404,食品,中規模,営業開拓,資料請求,3,37,接触済,0
A00405,日用品,中規模,紹介,サンプル依頼,3,74,接触済,0
A00406,化粧品,中規模,営業開拓,情報収集,0,46,未接触,0
A00407,研究開発,中規模,展示会,サンプル依頼,3,110,接触済,0
A00408,化粧品,中規模,展示会,資料請求,1,12,接触済,0
