opportunity_id,customer_id,stage,contracted,days_since_contact
OPP-A00122,A00122,接触済,0,50
OPP-A00123,A00123,接触済,0,73
OPP-A00124,A00124,接触済,0,119
OPP-A00125,A00125,接触済,0,70
OPP-A00126,A00126,接触済,0,2
OPP-A00127,A00127,契約,1,111
OPP-A00128,A00128,接触済,0,94
OPP-A00129,A00129,接触済,0,9
OPP-A00130,A00130,接触済,0,24
OPP-A00131,A00131,接触済,0,38
OPP-A00132,A00132,商談,0,22
OPP-A00133,A00133,接触済,0,93
OPP-A00134,A00134,接触済,0,3
OPP-A00135,A00135,接触済,0,41
OPP-A00136,A00136,接触済,0,104
OPP-A00137,A00137,未接触,0,35
OPP-A00138,A00138,接触済,0,97
OPP-A00139,A00139,接触済,0,15
OPP-A00140,A00140,契約,1,31
OPP-A00141,A00141,接触済,0,11
OPP-A00142,A00142,接触済,0,73
OPP-A00143,A00143,接触済,0,108
OPP-A00144,A00144,接触済,0,91
OPP-A00145,A00145,接触済,0,102
OPP-A00146,A00146,接触済,0,74
OPP-A00147,A00147,接触済,0,15
OPP-A00148,A00148,接触済,0,102
OPP-A00149,A00149,接触済,0,74
OPP-A00150,A00150,契約,1,18
OPP-A00151,A00151,接触済,0,85
OPP-A00152,A00152,接触済,0,68
OPP-A00153,A00153,接触済,0,26
OPP-A00154,A00154,未接触,0,54
OPP-A00155,A00155,接触済,0,59
OPP-A00156,A00156,接触済,0,33
OPP-A00157,A00157,接触済,0,2
OPP-A00158,A00158,接触済,0,44
OPP-A00159,A00159,接触済,0,92
OPP-A00160,A00160,接触済,0,98
OPP-A00161,A00161,接触済,0,40
OPP-A00162,A00162,接触済,0,42
OPP-A00163,A00163,接触済,0,36
OPP-A00164,A00164,接触済,0,17
OPP-A00165,A00165,接触済,0,9
OPP-A00166,A00166,接触済,0,113
OPP-A00167,A00167,接触済,0,56
OPP-A00168,A00168,接触済,0,26
OPP-A00169,A00169,接触済,0,107
OPP-A00170,A00170,接触済,0,81
OPP-A00171,A00171,接触済,0,30
OPP-A00172,A00172,接触済,0,100
OPP-A00173,A00173,接触済,0,82
OPP-A00174,A00174,接触済,0,70
OPP-A00175,A00175,接触済,0,98
OPP-A00176,A00176,接触済,0,79
OPP-A00177,A00177,未接触,0,12
OPP-A00178,A00178,商談,0,28
OPP-A00179,A00179,接触済,0,85
OPP-A00180,A00180,未接触,0,114
OPP-A00181,A00181,接触済,0,110
OPP-A00182,A00182,接触済,0,10
OPP-A00183,A00183,接触済,0,80
OPP-A00184,A00184,接触済,0,29
OPP-A00185,A00185,接触済,0,19
OPP-A00186,A00186,未接触,0,56
OPP-A00187,A00187,接触済,0,51
OPP-A00188,A00188,接触済,0,52
OPP-A00189,A00189,接触済,0,30
OPP-A00190,A00190,接触済,0,31
OPP-A00191,A00191,接触済,0,102
OPP-A00192,A00192,接触済,0,114
OPP-A00193,A00193,未接触,0,90
OPP-A00194,A00194,契約,1,26
OPP-A00195,A00195,接触済,0,23
OPP-A00196,A00196,接触済,0,103
OPP-A00197,A00197,接触済,0,78
OPP-A00198,A00198,接触済,0,113
OPP-A00199,A00199,接触済,0,118
OPP-A00200,A00200,接触済,0,9
OPP-A00201,A00201,接触済,0,64
OPP-A00202,A00202,接触済,0,47
OPP-A00203,A00203,未接触,0,8
OPP-A00204,A00204,接触済,0,19
OPP-A00205,A00205,接触済,0,90
OPP-A00206,A00206,接触済,0,53
OPP-A00207,A00207,接触済,0,71
OPP-A00208,A00208,接触済,0,113
OPP-A00209,A00209,接触済,0,91
OPP-A00210,A00210,接触済,0,27
OPP-A00211,A00211,接触済,0,23
OPP-A00212,A00212,契約,1,103
OPP-A00213,A00213,接触済,0,5
OPP-A00214,A00214,契約,1,87
OPP-A00215,A00215,接触済,0,27
OPP-A00216,A00216,商談,0,88
OPP-A00217,A00217,接触済,0,5
OPP-A00218,A00218,接触済,0,76
OPP-A00219,A00219,接触済,0,65
OPP-A00220,A00220,接触済,0,63
OPP-A00221,A00221,接触済,0,14
OPP-A00222,A00222,接触済,0,27
OPP-A00223,A00223,未接触,0,34
OPP-A00224,A00224,接触済,0,10
OPP-A00225,A00225,接触済,0,96
OPP-A00226,A00226,接触済,0,75
OPP-A00227,A00227,接触済,0,95
OPP-A00228,A00228,接触済,0,102
OPP-A00229,A00229,接触済,0,73
OPP-A00230,A00230,未接触,0,68
OPP-A00231,A00231,接触済,0,6
OPP-A00232,A00232,接触済,0,77
OPP-A00233,A00233,接触済,0,28
OPP-A00234,A00234,接触済,0,52
OPP-A00235,A00235,接触済,0,39
OPP-A00236,A00236,接触済,0,58
OPP-A00237,A00237,接触済,0,101
OPP-A00238,A00238,接触済,0,10
OPP-A00239,A00239,接触済,0,75
OPP-A00240,A00240,接触済,0,27
OPP-A00241,A00241,接触済,0,69
OPP-A00242,A00242,接触済,0,92
OPP-A00243,A00243,接触済,0,73
OPP-A00244,A00244,接触済,0,47
OPP-A00245,A00245,接触済,0,58
OPP-A00246,A00246,接触済,0,74
OPP-A00247,A00247,契約,1,13
OPP-A00248,A00248,契約,1,107
OPP-A00249,A00249,接触済,0,28
OPP-A00250,A00250,接触済,0,37
OPP-A00251,A00251,接触済,0,28
OPP-A00252,A00252,接触済,0,19
OPP-A00253,A00253,接触済,0,55
OPP-A00254,A00254,接触済,0,47
OPP-A00255,A00255,接触済,0,30
OPP-A00256,A00256,接触済,0,95
OPP-A00257,A00257,接触済,0,107
OPP-A00258,A00258,接触済,0,52
OPP-A00259,A00259,接触済,0,23
OPP-A00260,A00260,接触済,0,54
OPP-A00261,A00261,接触済,0,117
OPP-A00262,A00262,接触済,0,84
OPP-A00263,A00263,接触済,0,75
OPP-A00264,A00264,接触済,0,73
OPP-A00265,A00265,接触済,0,73
OPP-A00266,A00266,未接触,0,61
OPP-A00267,A00267,接触済,0,24
OPP-A00268,A00268,未接触,0,95
OPP-A00269,A00269,接触済,0,48
OPP-A00270,A00270,接触済,0,101
OPP-A00271,A00271,接触済,0,52
OPP-A00272,A00272,契約,1,113
OPP-A00273,A00273,接触済,0,89
OPP-A00274,A00274,接触済,0,78
OPP-A00275,A00275,接触済,0,102
OPP-A00276,A00276,接触済,0,36
OPP-A00277,A00277,接触済,0,38
OPP-A00278,A00278,接触済,0,117
OPP-A00279,A00279,接触済,0,10
OPP-A00280,A00280,接触済,0,90
OPP-A00281,A00281,接触済,0,24
OPP-A00282,A00282,接触済,0,113
OPP-A00283,A00283,接触済,0,98
OPP-A00284,A00284,接触済,0,57
OPP-A00285,A00285,未接触,0,114
OPP-A00286,A00286,接触済,0,4
OPP-A00287,A00287,接触済,0,107
OPP-A00288,A00288,接触済,0,6
OPP-A00289,A00289,接触済,0,66
OPP-A00290,A00290,接触済,0,82
OPP-A00291,A00291,接触済,0,71
OPP-A00292,A00292,接触済,0,13
OPP-A00293,A00293,未接触,0,111
OPP-A00294,A00294,接触済,0,7
OPP-A00295,A00295,契約,1,104
OPP-A00296,A00296,接触済,0,109
OPP-A00297,A00297,接触済,0,35
OPP-A00298,A00298,商談,0,66
OPP-A00299,A00299,接触済,0,99
OPP-A00300,A00300,接触済,0,73
OPP-A00301,A00301,接触済,0,31
OPP-A00302,A00302,契約,1,91
OPP-A00303,A00303,接触済,0,74
OPP-A00304,A00304,接触済,0,55
OPP-A00305,A00305,接触済,0,96
OPP-A00306,A00306,接触済,0,97
OPP-A00307,A00307,接触済,0,60
OPP-A00308,A00308,契約,1,3
OPP-A00309,A00309,接触済,0,30
OPP-A00310,A00310,接触済,0,112
OPP-A00311,A00311,接触済,0,119
OPP-A00312,A00312,未接触,0,38
OPP-A00313,A00313,接触済,0,60
OPP-A00314,A00314,接触済,0,62
OPP-A00315,A00315,契約,1,28
OPP-A00316,A00316,接触済,0,25
OPP-A00317,A00317,接触済,0,114
OPP-A00318,A00318,接触済,0,44
OPP-A00319,A00319,接触済,0,76
OPP-A00320,A00320,接触済,0,4
OPP-A00321,A00321,接触済,0,9
OPP-A00322,A00322,接触済,0,88
OPP-A00323,A00323,接触済,0,88
OPP-A00324,A00324,接触済,0,10
OPP-A00325,A00325,契約,1,2
OPP-A00326,A00326,接触済,0,18
OPP-A00327,A00327,未接触,0,3
OPP-A00328,A00328,接触済,0,81
OPP-A00329,A00329,接触済,0,50
OPP-A00330,A00330,接触済,0,90
OPP-A00331,A00331,接触済,0,27
OPP-A00332,A00332,接触済,0,1
OPP-A00333,A00333,接触済,0,36
OPP-A00334,A00334,接触済,0,101
OPP-A00335,A00335,接触済,0,83
OPP-A00336,A00336,未接触,0,119
OPP-A00337,A00337,接触済,0,68
OPP-A00338,A00338,接触済,0,75
OPP-A00339,A00339,接触済,0,35
OPP-A00340,A00340,接触済,0,112
OPP-A00341,A00341,接触済,0,58
OPP-A00342,A00342,接触済,0,104
OPP-A00343,A00343,接触済,0,21
OPP-A00344,A00344,未接触,0,70
OPP-A00345,A00345,未接触,0,36
OPP-A00346,A00346,接触済,0,16
OPP-A00347,A00347,接触済,0,107
OPP-A00348,A00348,接触済,0,75
OPP-A00349,A00349,接触済,0,41
OPP-A00350,A00350,接触済,0,84
OPP-A00351,A00351,接触済,0,51
OPP-A00352,A00352,未接触,0,53
OPP-A00353,A00353,接触済,0,71
OPP-A00354,A00354,接触済,0,17
OPP-A00355,A00355,接触済,0,93
OPP-A00356,A00356,接触済,0,21
OPP-A00357,A00357,接触済,0,95
OPP-A00358,A00358,接触済,0,69
OPP-A00359,A00359,接触済,0,76
OPP-A00360,A00360,接触済,0,106
OPP-A00361,A00361,接触済,0,8
OPP-A00362,A00362,接触済,0,25
OPP-A00363,A00363,商談,0,4
OPP-A00364,A00364,接触済,0,98
OPP-A00365,A00365,接触済,0,51
OPP-A00366,A00366,接触済,0,72
OPP-A00367,A00367,接触済,0,112
OPP-A00368,A00368,契約,1,83
OPP-A00369,A00369,接触済,0,53
OPP-A00370,A00370,接触済,0,0
OPP-A00371,A00371,接触済,0,6
OPP-A00372,A00372,接触済,0,37
OPP-A00373,A00373,接触済,0,23
OPP-A00374,A00374,接触済,0,38
OPP-A00375,A00375,接触済,0,31
OPP-A00376,A00376,接触済,0,35
OPP-A00377,A00377,未接触,0,111
OPP-A00378,A00378,接触済,0,90
OPP-A00379,A00379,契約,1,30
OPP-A00380,A00380,契約,1,60
OPP-A00381,A00381,商談,0,0
OPP-A00382,A00382,接触済,0,109
OPP-A00383,A00383,接触済,0,74
OPP-A00384,A00384,接触済,0,110
OPP-A00385,A00385,接触済,0,3
OPP-A00386,A00386,契約,1,114
OPP-A00387,A00387,接触済,0,20
OPP-A00388,A00388,接触済,0,21
OPP-A00389,A00389,接触済,0,34
OPP-A00390,A00390,未接触,0,106
OPP-A00391,A00391,接触済,0,0
OPP-A00392,A00392,接触済,0,118
OPP-A00393,A00393,接触済,0,49
OPP-A00394,A00394,接触済,0,36
OPP-A00395,A00395,接触済,0,110
OPP-A00396,A00396,接触済,0,10
OPP-A00397,A00397,接触済,0,114
OPP-A00398,A00398,接触済,0,94
OPP-A00399,A00399,接触済,0,38
OPP-A00400,A00400,接触済,0,3
OPP-A00401,A00401,未接触,0,109
OPP-A00402,A00402,接触済,0,68
OPP-A00403,A00403,接触済,0,120
OPP-A00404,A00404,接触済,0,37
OPP-A00405,A00405,接触済,0,74
OPP-A00406,A00406,未接触,0,46
OPP-A00407,A00407,接触済,0,110
OPP-A00408,A00408,接触済,0,12
OPP-A00409,A00409,接触済,0,2
OPP-A00410,A00410,接触済,0,26
OPP-A00411,A00411,接触済,0,99
OPP-A00412,A00412,未接触,0,65
OPP-A00413,A00413,接触済,0,83
OPP-A00414,A00414,接触済,0,86
OPP-A00415,A00415,接触済,0,31
OPP-A00416,A00416,接触済,0,103
OPP-A00417,A00417,接触済,0,88
OPP-A00418,A00418,接触済,0,102
OPP-A00419,A00419,接触済,0,73
OPP-A00420,A00420,接触済,0,98
OPP-A00421,A00421,接触済,0,87
OPP-A00422,A00422,接触済,0,84
OPP-A00423,A00423,接触済,0,86
OPP-A00424,A00424,接触済,0,43
OPP-A00425,A00425,契約,1,9
OPP-A00426,A00426,接触済,0,117
OPP-A00427,A00427,接触済,0,75
OPP-A00428,A00428,接触済,0,74
OPP-A00429,A00429,接触済,0,30
OPP-A00430,A00430,接触済,0,115
OPP-A00431,A00431,接触済,0,112
OPP-A00432,A00432,契約,1,6
OPP-A00433,A00433,接触済,0,88
OPP-A00434,A00434,接触済,0,73
OPP-A00435,A00435,接触済,0,37
OPP-A00436,A00436,未接触,0,106
OPP-A00437,A00437,接触済,0,23
OPP-A00438,A00438,未接触,0,88
OPP-A00439,A00439,接触済,0,83
OPP-A00440,A00440,未接触,0,95
OPP-A00441,A00441,接触済,0,103
OPP-A00442,A00442,接触済,0,83
OPP-A00443,A00443,未接触,0,61
OPP-A00444,A00444,未接触,0,119
OPP-A00445,A00445,接触済,0,0
OPP-A00446,A00446,接触済,0,28
OPP-A00447,A00447,接触済,0,84
OPP-A00448,A00448,接触済,0,103
OPP-A00449,A00449,接触済,0,87
OPP-A00450,A00450,接触済,0,72
OPP-A00451,A00451,接触済,0,98
OPP-A00452,A00452,契約,1,65
OPP-A00453,A00453,接触済,0,119
OPP-A00454,A00454,接触済,0,66
OPP-A00455,A00455,接触済,0,112
OPP-A00456,A00456,未接触,0,17
OPP-A00457,A00457,未接触,0,13
OPP-A00458,A00458,契約,1,23
OPP-A00459,A00459,接触済,0,61
OPP-A00460,A00460,接触済,0,27
OPP-A00461,A00461,契約,1,4
OPP-A00462,A00462,接触済,0,42
OPP-A00463,A00463,契約,1,50
OPP-A00464,A00464,接触済,0,108
OPP-A00465,A00465,接触済,0,58
OPP-A00466,A00466,接触済,0,12
OPP-A00467,A00467,接触済,0,31
OPP-A00468,A00468,接触済,0,94
OPP-A00469,A00469,接触済,0,83
OPP-A00470,A00470,接触済,0,86
OPP-A00471,A00471,契約,1,49
OPP-A00472,A00472,接触済,0,73
OPP-A00473,A00473,接触済,0,54
OPP-A00474,A00474,契約,1,5
OPP-A00475,A00475,接触済,0,58
OPP-A00476,A00476,契約,1,41
OPP-A00477,A00477,接触済,0,7
OPP-A00478,A00478,接触済,0,91
OPP-A00479,A00479,接触済,0,70
OPP-A00480,A00480,接触済,0,82
OPP-A00481,A00481,契約,1,14
OPP-A00482,A00482,接触済,0,19
OPP-A00483,A00483,未接触,0,20
OPP-A00484,A00484,接触済,0,35
OPP-A00485,A00485,接触済,0,99
OPP-A00486,A00486,接触済,0,82
OPP-A00487,A00487,接触済,0,5
OPP-A00488,A00488,接触済,0,106
OPP-A00489,A00489,接触済,0,119
OPP-A00490,A00490,接触済,0,40
OPP-A00491,A00491,未接触,0,109
OPP-A00492,A00492,接触済,0,111
OPP-A00493,A00493,接触済,0,3
OPP-A00494,A00494,未接触,0,11
OPP-A00495,A00495,契約,1,67
OPP-A00496,A00496,契約,1,1
OPP-A00497,A00497,接触済,0,106
OPP-A00498,A00498,契約,1,87
OPP-A00499,A00499,契約,1,78
OPP-A00500,A00500,接触済,0,118
OPP-A00501,A00501,接触済,0,97
OPP-A00502,A00502,接触済,0,119
OPP-A00503,A00503,接触済,0,45
OPP-A00504,A00504,接触済,0,37
OPP-A00505,A00505,商談,0,36
OPP-A00506,A00506,接触済,0,89
OPP-A00507,A00507,接触済,0,39
OPP-A00508,A00508,接触済,0,40
OPP-A00509,A00509,接触済,0,97
OPP-A00510,A00510,接触済,0,4
OPP-A00511,A00511,接触済,0,42
OPP-A00512,A00512,接触済,0,26
OPP-A00513,A00513,接触済,0,106
OPP-A00514,A00514,契約,1,3
OPP-A00515,A00515,接触済,0,75
OPP-A00516,A00516,接触済,0,93
OPP-A00517,A00517,未接触,0,1
OPP-A00518,A00518,接触済,0,33
OPP-A00519,A00519,接触済,0,36
OPP-A00520,A00520,未接触,0,42
OPP-A00521,A00521,接触済,0,4
OPP-A00522,A00522,接触済,0,56
OPP-A00523,A00523,接触済,0,109
OPP-A00524,A00524,接触済,0,76
OPP-A00525,A00525,接触済,0,104
OPP-A00526,A00526,接触済,0,88
OPP-A00527,A00527,接触済,0,0
OPP-A00528,A00528,接触済,0,108
OPP-A00529,A00529,接触済,0,63
OPP-A00530,A00530,接触済,0,99
OPP-A00531,A00531,接触済,0,71
OPP-A00532,A00532,接触済,0,11
OPP-A00533,A00533,接触済,0,105
OPP-A00534,A00534,接触済,0,110
OPP-A00535,A00535,接触済,0,111
OPP-A00536,A00536,接触済,0,34
OPP-A00537,A00537,接触済,0,52
OPP-A00538,A00538,接触済,0,73
OPP-A00539,A00539,接触済,0,11
OPP-A00540,A00540,接触済,0,49
OPP-A00541,A00541,接触済,0,32
OPP-A00542,A00542,契約,1,36
OPP-A00543,A00543,接触済,0,43
OPP-A00544,A00544,接触済,0,14
OPP-A00545,A00545,接触済,0,35
OPP-A00546,A00546,接触済,0,0
OPP-A00547,A00547,接触済,0,37
OPP-A00548,A00548,接触済,0,107
OPP-A00549,A00549,接触済,0,104
OPP-A00550,A00550,接触済,0,20
OPP-A00551,A00551,接触済,0,98
OPP-A00552,A00552,接触済,0,50
OPP-A00553,A00553,接触済,0,119
OPP-A00554,A00554,契約,1,53
OPP-A00555,A00555,未接触,0,14
OPP-A00556,A00556,接触済,0,119
OPP-A00557,A00557,接触済,0,44
OPP-A00558,A00558,接触済,0,55
OPP-A00559,A00559,契約,1,118
OPP-A00560,A00560,接触済,0,67
OPP-A00561,A00561,接触済,0,26
OPP-A00562,A00562,契約,1,56
OPP-A00563,A00563,接触済,0,20
OPP-A00564,A00564,接触済,0,72
OPP-A00565,A00565,接触済,0,59
OPP-A00566,A00566,接触済,0,33
OPP-A00567,A00567,接触済,0,63
OPP-A00568,A00568,接触済,0,92
OPP-A00569,A00569,接触済,0,108
OPP-A00570,A00570,接触済,0,76
OPP-A00571,A00571,接触済,0,6
OPP-A00572,A00572,接触済,0,100
OPP-A00573,A00573,接触済,0,23
OPP-A00574,A00574,接触済,0,56
OPP-A00575,A00575,接触済,0,115
OPP-A00576,A00576,接触済,0,106
OPP-A00577,A00577,接触済,0,84
OPP-A00578,A00578,接触済,0,47
OPP-A00579,A00579,未接触,0,97
OPP-A00580,A00580,未接触,0,26
OPP-A00581,A00581,契約,1,28
OPP-A00582,A00582,接触済,0,112
OPP-A00583,A00583,接触済,0,9
OPP-A00584,A00584,接触済,0,70
OPP-A00585,A00585,接触済,0,17
OPP-A00586,A00586,契約,1,7
OPP-A00587,A00587,接触済,0,36
OPP-A00588,A00588,接触済,0,34
OPP-A00589,A00589,接触済,0,15
OPP-A00590,A00590,接触済,0,75
OPP-A00591,A00591,接触済,0,51
OPP-A00592,A00592,接触済,0,114
OPP-A00593,A00593,契約,1,11
OPP-A00594,A00594,接触済,0,109
OPP-A00595,A00595,接触済,0,63
OPP-A00596,A00596,接触済,0,80
OPP-A00597,A00597,接触済,0,64
OPP-A00598,A00598,接触済,0,67
OPP-A00599,A00599,接触済,0,73
OPP-A00600,A00600,接触済,0,62
OPP-A00601,A00601,未接触,0,115
OPP-A00602,A00602,商談,0,50
OPP-A00603,A00603,接触済,0,11
OPP-A00604,A00604,接触済,0,79
OPP-A00605,A00605,接触済,0,70
OPP-A00606,A00606,接触済,0,64
OPP-A00607,A00607,接触済,0,89
OPP-A00608,A00608,接触済,0,21
OPP-A00609,A00609,接触済,0,90
OPP-A00610,A00610,接触済,0,30
OPP-A00611,A00611,接触済,0,9
OPP-A00612,A00612,接触済,0,77
OPP-A00613,A00613,接触済,0,34
OPP-A00614,A00614,未接触,0,0
OPP-A00615,A00615,接触済,0,59
OPP-A00616,A00616,接触済,0,37
OPP-A00617,A00617,契約,1,6
OPP-A00618,A00618,接触済,0,32
OPP-A00619,A00619,接触済,0,12
OPP-A00620,A00620,接触済,0,109
OPP-A00621,A00621,接触済,0,29
OPP-A00622,A00622,契約,1,66
OPP-A00623,A00623,接触済,0,39
OPP-A00624,A00624,接触済,0,87
OPP-A00625,A00625,接触済,0,105
OPP-A00626,A00626,接触済,0,56
OPP-A00627,A00627,接触済,0,48
OPP-A00628,A00628,接触済,0,56
OPP-A00629,A00629,接触済,0,17
OPP-A00630,A00630,接触済,0,100
OPP-A00631,A00631,接触済,0,36
OPP-A00632,A00632,接触済,0,75
OPP-A00633,A00633,接触済,0,86
OPP-A00634,A00634,接触済,0,73
OPP-A00635,A00635,契約,1,109
OPP-A00636,A00636,未接触,0,76
OPP-A00637,A00637,未接触,0,89
OPP-A00638,A00638,接触済,0,88
OPP-A00639,A00639,接触済,0,5
OPP-A00640,A00640,接触済,0,94
OPP-A00641,A00641,接触済,0,10
OPP-A00642,A00642,接触済,0,41
OPP-A00643,A00643,接触済,0,71
OPP-A00644,A00644,接触済,0,4
OPP-A00645,A00645,接触済,0,19
OPP-A00646,A00646,接触済,0,67
OPP-A00647,A00647,接触済,0,104
OPP-A00648,A00648,接触済,0,45
OPP-A00649,A00649,接触済,0,55
OPP-A00650,A00650,接触済,0,14
OPP-A00651,A00651,接触済,0,101
OPP-A00652,A00652,接触済,0,48
OPP-A00653,A00653,接触済,0,71
OPP-A00654,A00654,接触済,0,85
OPP-A00655,A00655,接触済,0,31
OPP-A00656,A00656,接触済,0,95
OPP-A00657,A00657,接触済,0,43
OPP-A00658,A00658,未接触,0,48
OPP-A00659,A00659,接触済,0,0
OPP-A00660,A00660,接触済,0,76
OPP-A00661,A00661,未接触,0,29
OPP-A00662,A00662,接触済,0,112
OPP-A00663,A00663,接触済,0,76
OPP-A00664,A00664,接触済,0,101
OPP-A00665,A00665,接触済,0,79
OPP-A00666,A00666,接触済,0,85
OPP-A00667,A00667,接触済,0,92
OPP-A00668,A00668,接触済,0,111
OPP-A00669,A00669,接触済,0,59
OPP-A00670,A00670,接触済,0,16
OPP-A00671,A00671,接触済,0,102
OPP-A00672,A00672,接触済,0,88
OPP-A00673,A00673,接触済,0,55
OPP-A00674,A00674,未接触,0,59
OPP-A00675,A00675,接触済,0,89
OPP-A00676,A00676,接触済,0,63
OPP-A00677,A00677,接触済,0,99
OPP-A00678,A00678,接触済,0,118
OPP-A00679,A00679,未接触,0,44
OPP-A00680,A00680,接触済,0,11
OPP-A00681,A00681,接触済,0,9
OPP-A00682,A00682,接触済,0,41
OPP-A00683,A00683,契約,1,94
OPP-A00684,A00684,接触済,0,32
OPP-A00685,A00685,接触済,0,7
OPP-A00686,A00686,接触済,0,119
OPP-A00687,A00687,接触済,0,61
OPP-A00688,A00688,接触済,0,99
OPP-A00689,A00689,未接触,0,102
OPP-A00690,A00690,接触済,0,57
OPP-A00691,A00691,接触済,0,100
OPP-A00692,A00692,接触済,0,46
OPP-A00693,A00693,接触済,0,77
OPP-A00694,A00694,接触済,0,110
OPP-A00695,A00695,接触済,0,26
OPP-A00696,A00696,接触済,0,3
OPP-A00697,A00697,接触済,0,21
OPP-A00698,A00698,接触済,0,0
OPP-A00699,A00699,接触済,0,65
OPP-A00700,A00700,接触済,0,107
