customer_id,recency,frequency,monetary,stores_used,R_score,F_score,M_score,RFM_score,segment
C00109,34,23,42690,1,1,4,3,8,一般
C00110,8,25,58158,1,4,5,5,14,優良
C00111,15,21,51703,1,3,3,4,10,一般
C00112,14,20,37097,2,3,3,2,8,一般
C00113,17,14,34085,1,3,1,1,5,休眠・育成
C00114,4,25,57340,1,5,5,5,15,優良
C00115,4,20,43045,2,5,3,3,11,一般
C00116,21,21,38078,1,2,3,2,7,休眠・育成
C00117,18,28,64180,2,2,5,5,12,優良
C00118,19,16,39913,1,2,1,2,5,休眠・育成
C00119,9,22,49060,1,4,3,4,11,一般
C00120,9,18,31101,1,4,2,1,7,休眠・育成
C00121,23,17,45808,2,2,1,3,6,休眠・育成
C00122,4,33,78633,1,5,5,5,15,優良
C00123,10,28,67849,1,4,5,5,14,優良
C00124,6,24,47346,1,4,4,3,11,一般
C00125,1,27,56272,2,5,5,5,15,優良
C00126,3,19,44205,2,5,2,3,10,一般
C00127,21,23,55729,1,2,4,5,11,一般
C00128,29,20,38394,1,2,3,2,7,休眠・育成
C00129,21,15,31434,2,2,1,1,4,休眠・育成
C00130,5,16,34358,1,4,1,1,6,休眠・育成
C00131,3,38,82215,2,5,5,5,15,優良
C00132,15,22,41485,2,3,3,2,8,一般
C00133,6,15,29758,1,4,1,1,6,休眠・育成
C00134,14,11,28316,1,3,1,1,5,休眠・育成
C00135,22,14,26153,1,2,1,1,4,休眠・育成
C00136,3,22,52951,2,5,3,4,12,優良
C00137,29,17,36602,1,2,1,2,5,休眠・育成
C00138,15,13,29628,1,3,1,1,5,休眠・育成
C00139,31,17,47283,2,1,1,3,5,休眠・育成
C00140,17,23,49793,1,3,4,4,11,一般
C00141,2,25,56163,1,5,5,5,15,優良
C00142,38,24,52257,2,1,4,4,9,一般
C00143,15,20,35639,1,3,3,1,7,休眠・育成
C00144,1,27,63179,2,5,5,5,15,優良
C00145,5,19,42197,2,4,2,2,8,一般
C00146,18,16,36095,1,2,1,2,5,休眠・育成
C00147,6,18,38363,2,4,2,2,8,一般
C00148,13,19,49200,1,3,2,4,9,一般
C00149,2,19,55065,1,5,2,5,12,優良
C00150,5,24,61757,1,4,4,5,13,優良
C00151,5,23,39098,1,4,4,2,10,一般
C00152,3,22,40856,1,5,3,2,10,一般
C00153,26,23,48465,1,2,4,4,10,一般
C00154,10,23,42713,2,4,4,3,11,一般
C00155,25,18,45457,1,2,2,3,7,休眠・育成
C00156,24,28,61067,2,2,5,5,12,優良
C00157,14,19,36866,1,3,2,2,7,休眠・育成
C00158,3,19,45420,1,5,2,3,10,一般
C00159,2,26,54990,2,5,5,5,15,優良
C00160,1,22,52200,1,5,3,4,12,優良
C00161,18,14,23334,1,2,1,1,4,休眠・育成
C00162,29,18,40082,1,2,2,2,6,休眠・育成
C00163,93,15,38377,1,1,1,2,4,休眠・育成
C00164,9,20,52907,1,4,3,4,11,一般
C00165,2,22,40477,1,5,3,2,10,一般
C00166,8,21,47001,2,4,3,3,10,一般
C00167,28,17,44030,1,2,1,3,6,休眠・育成
C00168,10,23,56177,2,3,4,5,12,優良
C00169,13,20,42479,1,3,3,3,9,一般
C00170,5,19,42583,1,4,2,3,9,一般
C00171,11,17,35799,1,3,1,2,6,休眠・育成
C00172,21,18,39946,1,2,2,2,6,休眠・育成
C00173,1,18,34711,1,5,2,1,8,一般
C00174,22,23,43887,1,2,4,3,9,一般
C00175,22,22,50421,1,2,3,4,9,一般
C00176,6,24,53753,1,4,4,4,12,優良
C00177,7,29,61787,1,4,5,5,14,優良
C00178,3,24,55903,2,5,4,5,14,優良
C00179,24,16,36318,1,2,1,2,5,休眠・育成
C00180,20,24,56418,1,2,4,5,11,一般
C00181,10,11,26096,1,3,1,1,5,休眠・育成
C00182,1,28,65372,1,5,5,5,15,優良
C00183,27,19,47750,1,2,2,4,8,一般
C00184,23,19,45766,1,2,2,3,7,休眠・育成
C00185,16,20,40307,3,3,3,2,8,一般
C00186,11,13,23563,1,3,1,1,5,休眠・育成
C00187,7,19,39876,1,4,2,2,8,一般
C00188,47,18,44532,1,1,2,3,6,休眠・育成
C00189,30,19,48985,1,2,2,4,8,一般
C00190,27,16,34749,1,2,1,1,4,休眠・育成
C00191,54,22,47342,2,1,3,3,7,休眠・育成
C00192,10,24,50480,2,3,4,4,11,一般
C00193,4,20,47377,1,5,3,3,11,一般
C00194,4,22,37620,1,5,3,2,10,一般
C00195,27,18,32691,1,2,2,1,5,休眠・育成
C00196,2,16,39897,1,5,1,2,8,一般
C00197,43,18,36520,1,1,2,2,5,休眠・育成
C00198,39,24,49566,1,1,4,4,9,一般
C00199,2,25,50095,2,5,5,4,14,優良
C00200,41,15,34590,1,1,1,1,3,休眠・育成
C00201,83,11,20311,1,1,1,1,3,休眠・育成
C00202,3,21,49446,2,5,3,4,12,優良
C00203,13,22,48349,2,3,3,4,10,一般
C00204,17,22,43889,2,3,3,3,9,一般
C00205,15,22,54495,2,3,3,4,10,一般
C00206,9,25,52896,1,4,5,4,13,優良
C00207,52,22,50882,1,1,3,4,8,一般
C00208,3,21,52907,1,5,3,4,12,優良
C00209,108,20,48639,1,1,3,4,8,一般
C00210,69,16,28695,1,1,1,1,3,休眠・育成
C00211,31,17,37336,1,1,1,2,4,休眠・育成
C00212,29,17,32894,2,2,1,1,4,休眠・育成
C00213,16,25,56352,2,3,5,5,13,優良
C00214,6,22,47120,1,4,3,3,10,一般
C00215,3,24,52734,1,5,4,4,13,優良
C00216,17,28,65726,1,3,5,5,13,優良
C00217,2,22,57756,1,5,3,5,13,優良
C00218,1,15,35821,1,5,1,2,8,一般
C00219,14,20,40423,1,3,3,2,8,一般
C00220,54,24,51072,2,1,4,4,9,一般
C00221,6,22,42661,1,4,3,3,10,一般
C00222,43,19,33016,1,1,2,1,4,休眠・育成
C00223,7,24,44137,2,4,4,3,11,一般
C00224,10,14,38691,1,3,1,2,6,休眠・育成
C00225,38,24,57059,1,1,4,5,10,一般
C00226,16,18,32604,1,3,2,1,6,休眠・育成
C00227,7,20,45264,3,4,3,3,10,一般
C00228,21,22,44762,1,2,3,3,8,一般
C00229,36,25,60940,1,1,5,5,11,一般
C00230,8,26,66455,1,4,5,5,14,優良
C00231,15,17,34617,2,3,1,1,5,休眠・育成
C00232,14,22,46394,1,3,3,3,9,一般
C00233,25,23,56783,1,2,4,5,11,一般
C00234,10,22,50165,1,3,3,4,10,一般
C00235,25,22,47495,1,2,3,3,8,一般
C00236,9,27,68269,1,4,5,5,14,優良
C00237,9,23,48925,1,4,4,4,12,優良
C00238,6,14,25663,1,4,1,1,6,休眠・育成
C00239,3,20,45546,1,5,3,3,11,一般
C00240,33,24,46147,2,1,4,3,8,一般
C00241,34,22,43716,1,1,3,3,7,休眠・育成
C00242,13,19,44653,1,3,2,3,8,一般
C00243,8,21,45097,1,4,3,3,10,一般
C00244,67,20,46849,1,1,3,3,7,休眠・育成
C00245,1,21,37585,1,5,3,2,10,一般
C00246,1,24,49411,1,5,4,4,13,優良
C00247,31,24,54269,1,1,4,4,9,一般
C00248,11,19,36507,1,3,2,2,7,休眠・育成
C00249,49,18,35418,1,1,2,1,4,休眠・育成
C00250,6,15,39387,1,4,1,2,7,休眠・育成
C00251,25,17,37646,2,2,1,2,5,休眠・育成
C00252,25,18,40589,1,2,2,2,6,休眠・育成
C00253,14,17,30269,1,3,1,1,5,休眠・育成
C00254,12,25,45665,1,3,5,3,11,一般
C00255,1,17,33489,1,5,1,1,7,休眠・育成
C00256,19,21,35137,1,2,3,1,6,休眠・育成
C00257,44,19,36721,2,1,2,2,5,休眠・育成
C00258,17,24,58823,1,3,4,5,12,優良
C00259,7,17,43821,1,4,1,3,8,一般
C00260,15,14,27561,1,3,1,1,5,休眠・育成
C00261,11,19,37149,1,3,2,2,7,休眠・育成
C00262,1,32,68739,2,5,5,5,15,優良
C00263,18,19,39862,2,2,2,2,6,休眠・育成
C00264,9,18,34076,1,4,2,1,7,休眠・育成
C00265,7,25,56611,1,4,5,5,14,優良
C00266,11,22,44628,2,3,3,3,9,一般
C00267,10,25,59524,2,3,5,5,13,優良
C00268,9,17,30401,1,4,1,1,6,休眠・育成
C00269,43,32,68853,2,1,5,5,11,一般
C00270,66,17,36598,1,1,1,2,4,休眠・育成
C00271,6,25,60786,1,4,5,5,14,優良
C00272,20,24,65980,1,2,4,5,11,一般
C00273,34,14,34154,1,1,1,1,3,休眠・育成
C00274,7,16,30242,1,4,1,1,6,休眠・育成
C00275,31,31,63808,1,1,5,5,11,一般
C00276,2,31,70473,1,5,5,5,15,優良
C00277,12,16,37440,3,3,1,2,6,休眠・育成
C00278,8,19,43529,1,4,2,3,9,一般
C00279,9,24,58521,1,4,4,5,13,優良
C00280,35,21,49087,1,1,3,4,8,一般
C00281,3,13,27220,1,5,1,1,7,休眠・育成
C00282,8,25,54064,2,4,5,4,13,優良
C00283,31,20,47015,1,1,3,3,7,休眠・育成
C00284,3,19,42153,2,5,2,2,9,一般
C00285,25,21,53809,1,2,3,4,9,一般
C00286,21,19,38019,2,2,2,2,6,休眠・育成
C00287,17,21,39503,1,3,3,2,8,一般
C00288,17,19,44853,1,3,2,3,8,一般
C00289,29,26,65543,2,2,5,5,12,優良
C00290,5,14,26931,1,4,1,1,6,休眠・育成
C00291,8,25,50814,1,4,5,4,13,優良
C00292,7,24,52817,1,4,4,4,12,優良
C00293,40,18,39426,1,1,2,2,5,休眠・育成
C00294,4,17,43413,1,5,1,3,9,一般
C00295,46,25,51358,2,1,5,4,10,一般
C00296,13,25,59630,1,3,5,5,13,優良
C00297,60,19,40760,1,1,2,2,5,休眠・育成
C00298,4,17,37991,2,5,1,2,8,一般
C00299,5,22,38620,3,4,3,2,9,一般
C00300,16,18,45866,1,3,2,3,8,一般
C00301,36,25,50209,1,1,5,4,10,一般
C00302,60,14,23200,1,1,1,1,3,休眠・育成
C00303,1,18,42087,2,5,2,2,9,一般
C00304,11,23,58115,2,3,4,5,12,優良
C00305,11,23,41903,2,3,4,2,9,一般
C00306,11,17,27052,1,3,1,1,5,休眠・育成
C00307,43,23,51213,1,1,4,4,9,一般
C00308,1,20,40779,1,5,3,2,10,一般
C00309,18,22,45803,1,2,3,3,8,一般
C00310,3,26,49955,2,5,5,4,14,優良
C00311,34,18,41881,1,1,2,2,5,休眠・育成
C00312,4,26,54286,1,5,5,4,14,優良
C00313,32,14,32225,1,1,1,1,3,休眠・育成
C00314,5,18,39010,1,4,2,2,8,一般
C00315,10,18,37067,1,3,2,2,7,休眠・育成
C00316,2,27,57282,1,5,5,5,15,優良
C00317,9,25,45484,2,4,5,3,12,優良
C00318,5,23,55534,1,4,4,5,13,優良
C00319,20,26,58069,2,2,5,5,12,優良
C00320,6,28,64897,1,4,5,5,14,優良
C00321,109,18,36032,1,1,2,2,5,休眠・育成
C00322,51,13,27698,3,1,1,1,3,休眠・育成
C00323,9,28,58105,5,4,5,5,14,優良
C00324,52,22,50553,2,1,3,4,8,一般
C00325,4,22,53720,1,5,3,4,12,優良
C00326,31,11,24875,1,1,1,1,3,休眠・育成
C00327,8,22,47569,1,4,3,3,10,一般
C00328,40,11,22526,1,1,1,1,3,休眠・育成
C00329,1,20,42848,1,5,3,3,11,一般
C00330,9,20,38655,2,4,3,2,9,一般
C00331,6,20,54033,1,4,3,4,11,一般
C00332,60,17,32266,2,1,1,1,3,休眠・育成
C00333,4,17,34878,1,5,1,1,7,休眠・育成
C00334,2,15,34694,1,5,1,1,7,休眠・育成
C00335,7,18,40235,2,4,2,2,8,一般
C00336,12,23,53951,1,3,4,4,11,一般
C00337,10,22,45259,1,3,3,3,9,一般
C00338,5,27,56681,1,4,5,5,14,優良
C00339,2,20,38429,2,5,3,2,10,一般
C00340,11,19,41706,1,3,2,2,7,休眠・育成
C00341,48,26,62584,1,1,5,5,11,一般
C00342,3,18,37526,1,5,2,2,9,一般
C00343,7,25,47740,1,4,5,4,13,優良
C00344,7,17,39270,1,4,1,2,7,休眠・育成
C00345,18,24,56639,1,2,4,5,11,一般
C00346,109,15,35786,1,1,1,2,4,休眠・育成
C00347,18,18,36638,1,2,2,2,6,休眠・育成
C00348,45,14,27082,1,1,1,1,3,休眠・育成
C00349,6,20,47010,1,4,3,3,10,一般
C00350,46,17,42944,1,1,1,3,5,休眠・育成
C00351,34,18,37980,1,1,2,2,5,休眠・育成
C00352,1,20,42555,1,5,3,3,11,一般
C00353,44,18,38284,1,1,2,2,5,休眠・育成
C00354,8,18,40784,1,4,2,2,8,一般
C00355,24,17,33859,2,2,1,1,4,休眠・育成
C00356,8,21,54836,1,4,3,5,12,優良
C00357,33,19,40439,1,1,2,2,5,休眠・育成
C00358,4,26,52945,1,5,5,4,14,優良
C00359,68,9,18538,1,1,1,1,3,休眠・育成
C00360,4,26,65266,3,5,5,5,15,優良
C00361,19,20,50286,1,2,3,4,9,一般
C00362,2,23,49245,1,5,4,4,13,優良
C00363,12,19,48579,1,3,2,4,9,一般
C00364,9,19,46560,1,4,2,3,9,一般
C00365,10,22,58578,1,3,3,5,11,一般
C00366,14,22,54027,2,3,3,4,10,一般
C00367,41,18,28524,1,1,2,1,4,休眠・育成
C00368,24,17,30906,1,2,1,1,4,休眠・育成
C00369,13,20,43381,1,3,3,3,9,一般
C00370,52,16,40464,1,1,1,2,4,休眠・育成
C00371,14,18,43951,1,3,2,3,8,一般
C00372,5,16,38909,1,4,1,2,7,休眠・育成
C00373,3,25,60946,1,5,5,5,15,優良
C00374,40,25,60656,3,1,5,5,11,一般
C00375,4,12,25204,1,5,1,1,7,休眠・育成
C00376,53,27,53206,1,1,5,4,10,一般
C00377,6,25,55654,1,4,5,5,14,優良
C00378,15,23,60288,1,3,4,5,12,優良
C00379,8,19,44499,1,4,2,3,9,一般
C00380,62,27,57044,2,1,5,5,11,一般
C00381,8,20,48708,1,4,3,4,11,一般
C00382,4,26,69741,2,5,5,5,15,優良
C00383,36,21,45526,1,1,3,3,7,休眠・育成
C00384,7,24,54159,2,4,4,4,12,優良
C00385,16,21,47940,1,3,3,4,10,一般
C00386,4,22,46835,1,5,3,3,11,一般
C00387,59,13,30529,1,1,1,1,3,休眠・育成
C00388,8,15,33083,1,4,1,1,6,休眠・育成
C00389,24,14,28872,1,2,1,1,4,休眠・育成
C00390,56,8,16967,1,1,1,1,3,休眠・育成
C00391,4,19,41891,2,5,2,2,9,一般
C00392,16,22,48451,2,3,3,4,10,一般
C00393,16,20,40609,1,3,3,2,8,一般
C00394,16,27,60733,2,3,5,5,13,優良
C00395,5,22,45652,1,4,3,3,10,一般
C00396,9,18,35207,1,4,2,1,7,休眠・育成
C00397,27,20,33780,1,2,3,1,6,休眠・育成
C00398,52,18,44955,1,1,2,3,6,休眠・育成
C00399,13,23,62290,1,3,4,5,12,優良
C00400,2,23,58183,1,5,4,5,14,優良
C00401,10,18,34427,3,3,2,1,6,休眠・育成
C00402,1,19,45918,1,5,2,3,10,一般
C00403,7,18,33587,1,4,2,1,7,休眠・育成
C00404,17,29,54372,1,3,5,4,12,優良
C00405,2,22,41332,1,5,3,2,10,一般
C00406,6,23,44569,2,4,4,3,11,一般
C00407,3,23,44675,1,5,4,3,12,優良
C00408,10,17,33243,1,3,1,1,5,休眠・育成
C00409,9,25,59658,1,4,5,5,14,優良
C00410,7,22,47018,1,4,3,3,10,一般
C00411,23,19,39418,1,2,2,2,6,休眠・育成
C00412,3,18,36838,1,5,2,2,9,一般
C00413,17,20,42035,2,3,3,2,8,一般
C00414,26,16,33199,1,2,1,1,4,休眠・育成
C00415,16,19,39696,1,3,2,2,7,休眠・育成
C00416,8,21,43445,1,4,3,3,10,一般
C00417,23,24,51005,1,2,4,4,10,一般
C00418,19,11,22491,1,2,1,1,4,休眠・育成
C00419,44,19,42451,2,1,2,3,6,休眠・育成
C00420,12,10,20044,1,3,1,1,5,休眠・育成
C00421,9,17,32126,1,4,1,1,6,休眠・育成
C00422,28,24,47245,2,2,4,3,9,一般
C00423,19,21,48641,1,2,3,4,9,一般
C00424,28,24,53804,1,2,4,4,10,一般
C00425,54,16,43388,1,1,1,3,5,休眠・育成
C00426,25,19,44024,2,2,2,3,7,休眠・育成
C00427,11,16,27519,2,3,1,1,5,休眠・育成
C00428,1,29,64240,1,5,5,5,15,優良
C00429,28,18,39181,2,2,2,2,6,休眠・育成
C00430,12,21,53112,1,3,3,4,10,一般
C00431,20,14,30387,1,2,1,1,4,休眠・育成
C00432,18,21,41457,1,2,3,2,7,休眠・育成
C00433,14,29,75967,1,3,5,5,13,優良
C00434,12,23,53391,1,3,4,4,11,一般
C00435,36,23,61349,1,1,4,5,10,一般
C00436,3,29,62658,2,5,5,5,15,優良
C00437,9,17,34848,1,4,1,1,6,休眠・育成
C00438,34,21,42984,1,1,3,3,7,休眠・育成
C00439,18,21,38675,1,2,3,2,7,休眠・育成
C00440,31,20,43597,2,1,3,3,7,休眠・育成
C00441,4,22,44082,1,5,3,3,11,一般
C00442,7,26,66268,1,4,5,5,14,優良
C00443,31,19,31498,1,1,2,1,4,休眠・育成
C00444,20,27,54451,1,2,5,4,11,一般
C00445,11,23,51762,1,3,4,4,11,一般
C00446,11,21,49036,1,3,3,4,10,一般
C00447,1,17,42751,1,5,1,3,9,一般
C00448,19,18,44221,1,2,2,3,7,休眠・育成
C00449,18,15,25430,2,2,1,1,4,休眠・育成
C00450,1,16,31204,2,5,1,1,7,休眠・育成
C00451,42,12,24745,1,1,1,1,3,休眠・育成
C00452,4,22,48786,1,5,4,4,13,優良
C00453,4,21,45131,1,5,3,3,11,一般
C00454,16,22,59568,1,3,4,5,12,優良
C00455,16,14,36508,1,3,1,2,6,休眠・育成
C00456,9,15,30323,2,4,1,1,6,休眠・育成
C00457,14,25,51381,1,3,5,4,12,優良
C00458,40,13,26757,1,1,1,1,3,休眠・育成
C00459,1,25,54834,1,5,5,5,15,優良
C00460,41,16,36187,1,1,1,2,4,休眠・育成
C00461,10,20,53272,2,3,3,4,10,一般
C00462,5,22,50969,1,4,4,4,12,優良
C00463,31,15,37442,1,1,1,2,4,休眠・育成
C00464,20,24,55360,1,2,4,5,11,一般
C00465,5,12,24788,1,4,1,1,6,休眠・育成
C00466,15,20,49472,1,3,3,4,10,一般
C00467,3,20,43446,1,5,3,3,11,一般
C00468,23,11,29019,1,2,1,1,4,休眠・育成
C00469,3,25,46942,1,5,5,3,13,優良
C00470,5,26,52081,1,4,5,4,13,優良
C00471,15,15,38567,1,3,1,2,6,休眠・育成
C00472,24,24,46926,1,2,4,3,9,一般
C00473,16,18,37239,1,3,2,2,7,休眠・育成
C00474,74,19,40425,1,1,2,2,5,休眠・育成
C00475,41,23,41677,1,1,4,2,7,休眠・育成
C00476,1,26,50226,1,5,5,4,14,優良
C00477,8,20,43015,2,4,3,3,10,一般
C00478,21,16,32219,1,2,1,1,4,休眠・育成
C00479,49,25,58282,1,1,5,5,11,一般
C00480,51,19,40392,1,1,2,2,5,休眠・育成
C00481,9,24,52668,2,4,4,4,12,優良
C00482,57,20,47337,1,1,3,3,7,休眠・育成
C00483,3,16,34382,1,5,1,1,7,休眠・育成
C00484,32,26,57576,2,1,5,5,11,一般
C00485,111,17,47526,1,1,1,3,5,休眠・育成
C00486,25,24,48126,1,2,4,4,10,一般
C00487,10,24,57598,3,3,4,5,12,優良
C00488,3,19,55998,1,5,2,5,12,優良
C00489,3,24,49161,1,5,4,4,13,優良
C00490,16,22,54554,1,3,4,5,12,優良
C00491,15,18,33711,1,3,2,1,6,休眠・育成
C00492,4,30,59284,2,5,5,5,15,優良
C00493,4,20,43000,1,5,3,3,11,一般
C00494,5,16,37015,2,4,1,2,7,休眠・育成
C00495,2,31,78627,1,5,5,5,15,優良
C00496,90,20,44313,1,1,3,3,7,休眠・育成
C00497,30,18,39939,2,2,2,2,6,休眠・育成
C00498,21,23,46820,1,2,4,3,9,一般
C00499,5,14,38858,1,4,1,2,7,休眠・育成
C00500,14,13,32948,1,3,1,1,5,休眠・育成
C00501,23,11,20697,2,2,1,1,4,休眠・育成
C00502,10,19,42801,1,3,2,3,8,一般
C00503,24,16,44540,1,2,1,3,6,休眠・育成
C00504,22,18,35802,1,2,2,2,6,休眠・育成
C00505,6,22,47126,1,4,4,3,11,一般
C00506,24,17,36696,1,2,1,2,5,休眠・育成
C00507,9,21,45547,1,4,3,3,10,一般
C00508,1,20,38033,2,5,3,2,10,一般
C00509,18,17,31985,1,2,1,1,4,休眠・育成
C00510,13,32,60547,1,3,5,5,13,優良
C00511,4,20,40611,2,5,3,2,10,一般
C00512,3,26,59777,1,5,5,5,15,優良
C00513,46,20,45451,1,1,3,3,7,休眠・育成
C00514,10,18,39128,1,3,2,2,7,休眠・育成
C00515,16,20,47527,2,3,3,3,9,一般
C00516,36,26,53172,1,1,5,4,10,一般
C00517,8,18,41719,1,4,2,2,8,一般
C00518,4,22,48929,1,5,4,4,13,優良
C00519,7,23,44486,1,4,4,3,11,一般
C00520,6,29,63727,1,4,5,5,14,優良
C00521,9,28,52468,1,4,5,4,13,優良
C00522,10,25,59482,1,3,5,5,13,優良
C00523,6,25,54472,1,4,5,4,13,優良
C00524,31,18,42781,1,1,2,3,6,休眠・育成
C00525,6,24,60273,1,4,4,5,13,優良
C00526,8,23,46007,1,4,4,3,11,一般
C00527,35,25,56745,1,1,5,5,11,一般
C00528,2,20,42608,2,5,3,3,11,一般
C00529,2,30,68026,1,5,5,5,15,優良
C00530,80,14,21790,1,1,1,1,3,休眠・育成
C00531,66,13,27855,1,1,1,1,3,休眠・育成
C00532,30,21,48068,1,2,3,4,9,一般
C00533,8,30,72857,2,4,5,5,14,優良
C00534,24,20,46428,1,2,3,3,8,一般
C00535,47,22,56363,2,1,4,5,10,一般
C00536,26,20,36265,1,2,3,2,7,休眠・育成
C00537,10,29,68756,1,3,5,5,13,優良
C00538,4,12,25325,1,5,1,1,7,休眠・育成
C00539,3,17,46562,1,5,1,3,9,一般
C00540,43,13,25496,1,1,1,1,3,休眠・育成
C00541,19,27,67666,2,2,5,5,12,優良
C00542,52,23,54214,1,1,4,4,9,一般
C00543,3,31,72820,1,5,5,5,15,優良
C00544,4,13,26643,1,5,1,1,7,休眠・育成
C00545,2,21,46317,2,5,3,3,11,一般
C00546,8,30,66138,1,4,5,5,14,優良
C00547,5,17,46293,1,4,1,3,8,一般
