customer_id,industry,company_size,lead_source,inquiry_type,contact_count,days_since_contact,stage,contracted,prospect_score,priority,recommended_action
A02920,日用品,小規模,営業開拓,見積依頼,6,20,接触済,0,20.0,高,優先フォロー
A02631,研究開発,大規模,Web問い合わせ,サンプル依頼,5,16,接触済,0,20.0,高,優先フォロー
A01889,化粧品,小規模,展示会,資料請求,5,15,接触済,0,20.0,高,優先フォロー
A01712,化粧品,中規模,営業開拓,見積依頼,4,2,商談,0,20.0,高,商談状況を確認
A01894,その他,大規模,Web問い合わせ,見積依頼,5,34,接触済,0,19.8,高,優先フォロー
A02518,日用品,中規模,展示会,サンプル依頼,5,15,接触済,0,19.8,高,優先フォロー
A01505,日用品,小規模,紹介,サンプル依頼,4,10,接触済,0,19.7,高,商談状況を確認
A00391,食品,小規模,展示会,資料請求,6,0,接触済,0,19.7,高,商談状況を確認
A00388,化粧品,中規模,Web問い合わせ,資料請求,5,21,接触済,0,19.6,高,優先フォロー
A00824,研究開発,大規模,営業開拓,資料請求,5,4,接触済,0,19.6,高,商談状況を確認
A02569,日用品,中規模,展示会,情報収集,5,4,接触済,0,19.6,高,商談状況を確認
A01237,食品,小規模,Web問い合わせ,資料請求,5,3,接触済,0,19.5,高,商談状況を確認
A00587,化粧品,小規模,Web問い合わせ,サンプル依頼,6,36,接触済,0,19.4,高,優先フォロー
A02100,食品,小規模,展示会,見積依頼,10,27,接触済,0,19.4,高,優先フォロー
A00132,化粧品,大規模,営業開拓,見積依頼,4,22,商談,0,19.4,高,優先フォロー
A00866,食品,中規模,Web問い合わせ,資料請求,8,4,接触済,0,19.4,高,商談状況を確認
A01819,化粧品,大規模,展示会,資料請求,4,3,接触済,0,19.4,高,商談状況を確認
A02605,食品,中規模,営業開拓,見積依頼,6,22,接触済,0,19.3,高,優先フォロー
A02953,化粧品,中規模,展示会,情報収集,6,21,接触済,0,19.3,高,優先フォロー
A00670,化粧品,小規模,紹介,情報収集,4,16,接触済,0,19.3,高,優先フォロー
A02790,研究開発,小規模,紹介,サンプル依頼,4,6,接触済,0,19.3,高,商談状況を確認
A02000,その他,小規模,展示会,情報収集,6,3,接触済,0,19.3,高,商談状況を確認
A01421,化粧品,小規模,Web問い合わせ,見積依頼,4,19,商談,0,19.2,高,優先フォロー
A02198,日用品,小規模,Web問い合わせ,資料請求,6,13,接触済,0,19.2,高,商談状況を確認
A00279,食品,大規模,Web問い合わせ,見積依頼,4,10,接触済,0,19.2,高,商談状況を確認
A01265,食品,小規模,Web問い合わせ,資料請求,6,7,接触済,0,19.2,高,商談状況を確認
A00354,日用品,中規模,紹介,サンプル依頼,4,17,接触済,0,19.1,高,優先フォロー
A01568,食品,大規模,営業開拓,資料請求,5,14,接触済,0,19.1,高,優先フォロー
A00756,日用品,小規模,展示会,資料請求,5,13,接触済,0,19.1,高,商談状況を確認
A01767,日用品,小規模,展示会,資料請求,6,13,接触済,0,19.1,高,商談状況を確認
A01361,食品,小規模,Web問い合わせ,資料請求,6,8,接触済,0,19.1,高,商談状況を確認
A01185,日用品,小規模,営業開拓,情報収集,5,6,接触済,0,19.1,高,商談状況を確認
A01028,研究開発,小規模,展示会,資料請求,5,4,接触済,0,19.1,高,商談状況を確認
A02417,食品,小規模,営業開拓,資料請求,5,2,接触済,0,19.1,高,商談状況を確認
A01529,食品,小規模,営業開拓,情報収集,6,1,接触済,0,19.1,高,商談状況を確認
A02939,化粧品,小規模,Web問い合わせ,サンプル依頼,6,41,接触済,0,19.0,高,優先フォロー
A01099,研究開発,大規模,紹介,資料請求,4,9,接触済,0,19.0,高,商談状況を確認
A00696,食品,中規模,営業開拓,資料請求,5,3,接触済,0,19.0,高,商談状況を確認
A00437,その他,小規模,Web問い合わせ,サンプル依頼,5,23,接触済,0,18.9,高,優先フォロー
A02161,食品,中規模,Web問い合わせ,サンプル依頼,5,22,接触済,0,18.9,高,優先フォロー
A02653,日用品,小規模,Web問い合わせ,資料請求,5,16,接触済,0,18.9,高,優先フォロー
A00949,食品,小規模,紹介,サンプル依頼,4,14,接触済,0,18.9,高,優先フォロー
A02403,食品,小規模,紹介,サンプル依頼,4,14,接触済,0,18.9,高,優先フォロー
A00680,その他,小規模,Web問い合わせ,資料請求,7,11,接触済,0,18.9,高,商談状況を確認
A00087,研究開発,小規模,Web問い合わせ,資料請求,5,7,接触済,0,18.9,高,商談状況を確認
A00409,食品,大規模,Web問い合わせ,サンプル依頼,4,2,接触済,0,18.9,高,商談状況を確認
A00200,日用品,大規模,Web問い合わせ,サンプル依頼,4,9,接触済,0,18.8,高,商談状況を確認
A02154,日用品,小規模,紹介,情報収集,4,8,接触済,0,18.8,高,商談状況を確認
A02351,日用品,中規模,紹介,情報収集,4,7,接触済,0,18.8,高,商談状況を確認
A01013,化粧品,中規模,Web問い合わせ,資料請求,5,32,接触済,0,18.7,高,優先フォロー
A01190,化粧品,大規模,展示会,資料請求,4,12,接触済,0,18.7,高,商談状況を確認
A00841,その他,中規模,Web問い合わせ,情報収集,5,11,接触済,0,18.7,高,商談状況を確認
A02332,化粧品,中規模,紹介,サンプル依頼,3,4,商談,0,18.7,高,商談状況を確認
A01739,研究開発,小規模,Web問い合わせ,見積依頼,5,34,接触済,0,18.6,高,優先フォロー
A00240,その他,小規模,Web問い合わせ,サンプル依頼,6,27,接触済,0,18.6,高,優先フォロー
A02140,その他,中規模,Web問い合わせ,サンプル依頼,5,25,接触済,0,18.6,高,優先フォロー
A02150,食品,小規模,展示会,サンプル依頼,6,25,接触済,0,18.6,高,優先フォロー
A00909,その他,小規模,Web問い合わせ,情報収集,6,13,接触済,0,18.6,高,商談状況を確認
A01067,食品,小規模,展示会,情報収集,7,12,接触済,0,18.6,高,商談状況を確認
A00876,研究開発,小規模,紹介,情報収集,4,1,接触済,0,18.6,高,商談状況を確認
A02935,化粧品,大規模,紹介,サンプル依頼,4,50,商談,0,18.5,高,優先フォロー
A01508,その他,中規模,紹介,資料請求,5,38,接触済,0,18.5,高,優先フォロー
A01777,化粧品,小規模,Web問い合わせ,情報収集,6,34,接触済,0,18.5,高,優先フォロー
A01789,日用品,中規模,展示会,情報収集,7,17,接触済,0,18.5,高,優先フォロー
A02517,その他,大規模,Web問い合わせ,サンプル依頼,4,8,接触済,0,18.5,高,商談状況を確認
A02289,化粧品,大規模,Web問い合わせ,見積依頼,3,7,商談,0,18.5,高,商談状況を確認
A02002,研究開発,小規模,紹介,情報収集,4,3,接触済,0,18.5,高,商談状況を確認
A02968,その他,中規模,営業開拓,見積依頼,4,2,接触済,0,18.5,高,商談状況を確認
A00503,日用品,中規模,紹介,資料請求,5,45,接触済,0,18.4,高,優先フォロー
A01432,化粧品,中規模,展示会,情報収集,5,33,接触済,0,18.4,高,優先フォロー
A00899,化粧品,中規模,紹介,資料請求,4,27,接触済,0,18.4,高,優先フォロー
A01738,日用品,小規模,展示会,資料請求,5,21,接触済,0,18.4,高,優先フォロー
A01874,化粧品,小規模,営業開拓,サンプル依頼,4,11,接触済,0,18.4,高,商談状況を確認
A01786,研究開発,大規模,Web問い合わせ,サンプル依頼,4,5,接触済,0,18.4,高,商談状況を確認
A02167,化粧品,中規模,展示会,資料請求,4,3,接触済,0,18.4,高,商談状況を確認
A01542,研究開発,小規模,営業開拓,見積依頼,4,0,接触済,0,18.4,高,商談状況を確認
A00055,化粧品,大規模,紹介,情報収集,5,70,商談,0,18.3,高,優先フォロー
A01999,食品,大規模,Web問い合わせ,見積依頼,5,53,接触済,0,18.3,高,優先フォロー
A01681,日用品,小規模,営業開拓,見積依頼,6,41,接触済,0,18.3,高,優先フォロー
A00297,日用品,小規模,Web問い合わせ,サンプル依頼,5,35,接触済,0,18.3,高,優先フォロー
A00376,化粧品,小規模,展示会,情報収集,5,35,接触済,0,18.3,高,優先フォロー
A02927,化粧品,小規模,Web問い合わせ,サンプル依頼,4,18,接触済,0,18.3,高,優先フォロー
A00510,化粧品,中規模,Web問い合わせ,情報収集,4,4,接触済,0,18.3,高,商談状況を確認
A00071,研究開発,中規模,営業開拓,見積依頼,4,0,接触済,0,18.3,高,商談状況を確認
A01289,化粧品,中規模,Web問い合わせ,情報収集,5,36,接触済,0,18.2,高,優先フォロー
A01685,化粧品,大規模,展示会,資料請求,4,18,接触済,0,18.2,高,優先フォロー
A01101,化粧品,中規模,展示会,資料請求,4,6,接触済,0,18.2,高,商談状況を確認
A02912,化粧品,中規模,展示会,資料請求,5,38,接触済,0,18.1,高,優先フォロー
A00103,食品,小規模,展示会,サンプル依頼,5,32,接触済,0,18.1,高,優先フォロー
A00211,日用品,小規模,展示会,情報収集,5,23,接触済,0,18.1,高,優先フォロー
A01614,日用品,中規模,営業開拓,資料請求,9,20,接触済,0,18.1,高,優先フォロー
A01355,食品,小規模,展示会,情報収集,5,18,接触済,0,18.1,高,優先フォロー
A00164,食品,中規模,展示会,情報収集,5,17,接触済,0,18.1,高,優先フォロー
A00988,研究開発,小規模,営業開拓,情報収集,5,10,接触済,0,18.1,高,商談状況を確認
A00685,研究開発,中規模,紹介,情報収集,4,7,接触済,0,18.1,高,商談状況を確認
A01756,化粧品,中規模,営業開拓,情報収集,4,1,接触済,0,18.1,高,商談状況を確認
A01001,日用品,小規模,営業開拓,サンプル依頼,5,34,接触済,0,18.0,高,優先フォロー
A01562,その他,小規模,展示会,情報収集,5,20,接触済,0,18.0,高,優先フォロー
A02617,化粧品,小規模,営業開拓,サンプル依頼,4,17,接触済,0,18.0,高,優先フォロー
A02623,食品,小規模,営業開拓,情報収集,5,15,接触済,0,18.0,高,優先フォロー
A01381,化粧品,小規模,営業開拓,資料請求,4,5,接触済,0,18.0,高,商談状況を確認
A01881,化粧品,中規模,展示会,サンプル依頼,5,52,接触済,0,17.9,高,優先フォロー
A00254,その他,小規模,Web問い合わせ,見積依頼,5,47,接触済,0,17.9,高,優先フォロー
A01921,日用品,中規模,展示会,サンプル依頼,7,39,接触済,0,17.9,高,優先フォロー
A01970,化粧品,中規模,展示会,情報収集,5,39,接触済,0,17.9,高,優先フォロー
A01441,日用品,大規模,営業開拓,情報収集,5,32,接触済,0,17.9,高,優先フォロー
A01338,化粧品,小規模,営業開拓,見積依頼,4,30,接触済,0,17.9,高,優先フォロー
A02061,研究開発,小規模,営業開拓,見積依頼,4,7,接触済,0,17.9,高,商談状況を確認
A01803,食品,小規模,展示会,サンプル依頼,4,3,接触済,0,17.9,高,商談状況を確認
A00653,その他,中規模,紹介,見積依頼,5,71,接触済,0,17.8,高,優先フォロー
A02068,化粧品,小規模,営業開拓,サンプル依頼,5,50,接触済,0,17.8,高,優先フォロー
A01813,食品,中規模,展示会,サンプル依頼,5,34,接触済,0,17.8,高,優先フォロー
A00281,食品,小規模,Web問い合わせ,資料請求,5,24,接触済,0,17.8,高,優先フォロー
A01802,化粧品,中規模,営業開拓,サンプル依頼,4,18,接触済,0,17.8,高,優先フォロー
A02730,研究開発,小規模,営業開拓,資料請求,7,16,接触済,0,17.8,高,優先フォロー
A00139,研究開発,中規模,営業開拓,資料請求,5,15,接触済,0,17.8,高,優先フォロー
A02093,化粧品,小規模,展示会,情報収集,4,10,接触済,0,17.8,高,商談状況を確認
A02811,食品,小規模,展示会,サンプル依頼,4,4,接触済,0,17.8,高,商談状況を確認
A00389,化粧品,中規模,紹介,情報収集,4,34,接触済,0,17.7,高,優先フォロー
A00184,食品,中規模,紹介,サンプル依頼,4,29,接触済,0,17.7,高,優先フォロー
A00251,研究開発,小規模,営業開拓,サンプル依頼,5,28,接触済,0,17.7,高,優先フォロー
A02622,その他,小規模,Web問い合わせ,情報収集,7,24,接触済,0,17.7,高,優先フォロー
A01010,研究開発,中規模,Web問い合わせ,資料請求,5,21,接触済,0,17.7,高,優先フォロー
A02420,化粧品,小規模,紹介,サンプル依頼,3,18,商談,0,17.7,高,優先フォロー
A01782,化粧品,小規模,Web問い合わせ,見積依頼,3,6,接触済,0,17.7,高,商談状況を確認
A01283,食品,中規模,Web問い合わせ,サンプル依頼,4,5,接触済,0,17.7,高,商談状況を確認
A02136,化粧品,小規模,営業開拓,見積依頼,3,1,接触済,0,17.7,高,商談状況を確認
A00828,化粧品,中規模,営業開拓,見積依頼,6,63,接触済,0,17.6,高,優先フォロー
A02540,その他,大規模,Web問い合わせ,サンプル依頼,6,50,接触済,0,17.6,高,優先フォロー
A00292,日用品,小規模,Web問い合わせ,サンプル依頼,4,13,接触済,0,17.6,高,商談状況を確認
A02521,研究開発,大規模,紹介,見積依頼,5,82,商談,0,17.5,高,優先フォロー
A02849,食品,中規模,紹介,見積依頼,5,74,接触済,0,17.5,高,優先フォロー
A00837,日用品,小規模,営業開拓,見積依頼,5,51,接触済,0,17.5,高,優先フォロー
A01691,その他,中規模,紹介,資料請求,5,51,接触済,0,17.5,高,優先フォロー
A02590,化粧品,小規模,展示会,情報収集,5,45,接触済,0,17.5,高,優先フォロー
A00361,日用品,中規模,営業開拓,サンプル依頼,4,8,接触済,0,17.5,高,商談状況を確認
A01043,食品,小規模,営業開拓,見積依頼,5,47,接触済,0,17.4,高,優先フォロー
A00845,日用品,小規模,Web問い合わせ,情報収集,5,33,接触済,0,17.4,高,優先フォロー
A02180,研究開発,小規模,Web問い合わせ,資料請求,5,26,接触済,0,17.4,高,優先フォロー
A02944,食品,小規模,展示会,見積依頼,4,21,接触済,0,17.4,高,優先フォロー
A00238,化粧品,小規模,Web問い合わせ,見積依頼,3,10,接触済,0,17.4,高,商談状況を確認
A01980,化粧品,中規模,営業開拓,情報収集,4,9,接触済,0,17.4,高,商談状況を確認
A01958,研究開発,中規模,営業開拓,サンプル依頼,4,0,接触済,0,17.4,高,商談状況を確認
A01048,食品,中規模,営業開拓,見積依頼,7,47,接触済,0,17.3,高,優先フォロー
A00504,研究開発,中規模,展示会,サンプル依頼,5,37,接触済,0,17.3,高,優先フォロー
A00171,化粧品,中規模,Web問い合わせ,サンプル依頼,4,30,接触済,0,17.3,高,優先フォロー
A02467,研究開発,小規模,展示会,見積依頼,4,19,接触済,0,17.3,高,優先フォロー
A00146,化粧品,小規模,展示会,見積依頼,5,74,接触済,0,17.2,高,優先フォロー
A01475,日用品,小規模,紹介,サンプル依頼,6,72,接触済,0,17.2,高,優先フォロー
A02856,化粧品,中規模,Web問い合わせ,資料請求,5,51,接触済,0,17.2,高,優先フォロー
A02413,化粧品,小規模,営業開拓,情報収集,5,44,接触済,0,17.2,高,優先フォロー
A00250,日用品,小規模,展示会,資料請求,8,37,接触済,0,17.2,高,優先フォロー
A00255,その他,中規模,Web問い合わせ,情報収集,5,30,接触済,0,17.2,高,優先フォロー
A00168,食品,小規模,営業開拓,資料請求,5,26,接触済,0,17.2,高,優先フォロー
A01399,食品,小規模,紹介,サンプル依頼,3,4,接触済,0,17.2,高,商談状況を確認
A00370,食品,小規模,展示会,資料請求,4,0,接触済,0,17.2,高,商談状況を確認
A01855,化粧品,中規模,Web問い合わせ,見積依頼,5,75,接触済,0,17.1,高,優先フォロー
A02753,化粧品,中規模,営業開拓,情報収集,5,44,接触済,0,17.1,高,優先フォロー
A00511,食品,大規模,Web問い合わせ,情報収集,5,42,接触済,0,17.1,高,優先フォロー
A00316,その他,小規模,展示会,見積依頼,4,25,接触済,0,17.1,高,優先フォロー
A00111,化粧品,小規模,展示会,資料請求,4,21,接触済,0,17.1,高,優先フォロー
A00204,化粧品,中規模,Web問い合わせ,情報収集,4,19,接触済,0,17.1,高,優先フォロー
A01579,その他,小規模,展示会,サンプル依頼,4,13,接触済,0,17.1,高,商談状況を確認
A02882,日用品,大規模,営業開拓,情報収集,4,11,接触済,0,17.1,高,商談状況を確認
A01752,日用品,中規模,展示会,資料請求,4,6,接触済,0,17.1,高,商談状況を確認
A01127,食品,中規模,紹介,資料請求,4,25,接触済,0,17.0,高,優先フォロー
A00027,化粧品,小規模,Web問い合わせ,情報収集,4,21,接触済,0,17.0,高,優先フォロー
A00356,その他,小規模,営業開拓,見積依頼,4,21,接触済,0,17.0,高,優先フォロー
A02156,化粧品,大規模,展示会,サンプル依頼,3,13,商談,0,17.0,高,商談状況を確認
A00790,化粧品,小規模,紹介,見積依頼,2,7,商談,0,17.0,高,商談状況を確認
A01558,その他,中規模,紹介,情報収集,5,56,接触済,0,16.9,高,優先フォロー
A00772,日用品,大規模,Web問い合わせ,サンプル依頼,4,33,接触済,0,16.9,高,優先フォロー
A01726,食品,中規模,Web問い合わせ,情報収集,7,33,接触済,0,16.9,高,優先フォロー
A02200,その他,小規模,営業開拓,資料請求,6,31,接触済,0,16.9,高,優先フォロー
A01793,日用品,中規模,紹介,見積依頼,3,25,接触済,0,16.9,高,優先フォロー
A01280,その他,小規模,Web問い合わせ,サンプル依頼,4,16,接触済,0,16.9,高,優先フォロー
A00035,日用品,大規模,営業開拓,情報収集,4,13,接触済,0,16.9,高,商談状況を確認
A01472,その他,小規模,Web問い合わせ,資料請求,4,5,接触済,0,16.9,高,商談状況を確認
A02690,食品,中規模,Web問い合わせ,資料請求,4,4,接触済,0,16.9,高,商談状況を確認
A02246,化粧品,中規模,紹介,サンプル依頼,5,108,接触済,0,16.8,高,優先フォロー
A00926,化粧品,小規模,紹介,情報収集,5,78,接触済,0,16.8,高,優先フォロー
A02801,化粧品,小規模,Web問い合わせ,資料請求,7,57,接触済,0,16.8,高,優先フォロー
A01987,化粧品,中規模,紹介,情報収集,4,46,接触済,0,16.8,高,優先フォロー
A01364,日用品,小規模,Web問い合わせ,情報収集,5,41,接触済,0,16.8,高,優先フォロー
A00333,日用品,中規模,営業開拓,資料請求,6,36,接触済,0,16.8,高,優先フォロー
A02415,食品,小規模,Web問い合わせ,情報収集,5,35,接触済,0,16.8,高,優先フォロー
A00178,化粧品,中規模,紹介,サンプル依頼,3,28,商談,0,16.8,高,優先フォロー
A01195,日用品,小規模,紹介,見積依頼,3,27,接触済,0,16.8,高,優先フォロー
A01030,研究開発,中規模,紹介,情報収集,4,23,接触済,0,16.8,高,優先フォロー
A02331,化粧品,中規模,営業開拓,資料請求,4,19,接触済,0,16.8,高,優先フォロー
A00094,化粧品,中規模,展示会,サンプル依頼,3,4,接触済,0,16.8,高,商談状況を確認
A01298,日用品,小規模,営業開拓,情報収集,4,4,接触済,0,16.8,高,商談状況を確認
A02554,日用品,中規模,Web問い合わせ,見積依頼,3,3,接触済,0,16.8,高,商談状況を確認
A02595,研究開発,小規模,Web問い合わせ,情報収集,4,1,接触済,0,16.8,高,商談状況を確認
A02194,その他,中規模,営業開拓,見積依頼,5,55,接触済,0,16.7,高,優先フォロー
A01371,食品,中規模,Web問い合わせ,情報収集,7,35,接触済,0,16.7,高,優先フォロー
A00429,その他,小規模,紹介,資料請求,4,30,接触済,0,16.7,高,優先フォロー
A00849,化粧品,中規模,Web問い合わせ,資料請求,4,26,接触済,0,16.7,高,優先フォロー
A02539,日用品,小規模,営業開拓,資料請求,4,7,接触済,0,16.7,高,商談状況を確認
A02866,化粧品,中規模,Web問い合わせ,サンプル依頼,3,6,接触済,0,16.7,高,商談状況を確認
A02676,研究開発,中規模,紹介,サンプル依頼,5,70,接触済,0,16.6,高,優先フォロー
A01698,その他,中規模,展示会,見積依頼,5,61,接触済,0,16.6,高,優先フォロー
A02086,日用品,大規模,紹介,サンプル依頼,4,59,接触済,0,16.6,高,優先フォロー
A02485,食品,大規模,展示会,資料請求,5,50,接触済,0,16.6,高,優先フォロー
A00940,日用品,中規模,営業開拓,情報収集,5,37,接触済,0,16.6,高,優先フォロー
A02339,化粧品,小規模,Web問い合わせ,情報収集,4,26,接触済,0,16.6,高,優先フォロー
A02764,食品,小規模,Web問い合わせ,サンプル依頼,4,20,接触済,0,16.6,高,優先フォロー
A02748,食品,大規模,営業開拓,資料請求,4,14,接触済,0,16.6,高,優先フォロー
A02578,日用品,中規模,営業開拓,情報収集,4,5,接触済,0,16.6,高,商談状況を確認
A02952,その他,中規模,Web問い合わせ,見積依頼,3,0,接触済,0,16.6,高,商談状況を確認
A02721,化粧品,小規模,Web問い合わせ,サンプル依頼,5,72,接触済,0,16.5,高,優先フォロー
A02176,化粧品,小規模,Web問い合わせ,サンプル依頼,4,41,接触済,0,16.5,高,優先フォロー
A01192,食品,中規模,展示会,見積依頼,4,31,接触済,0,16.5,高,優先フォロー
A00222,化粧品,小規模,Web問い合わせ,情報収集,4,27,接触済,0,16.5,高,優先フォロー
A02229,化粧品,小規模,営業開拓,資料請求,4,24,接触済,0,16.5,高,優先フォロー
A01845,その他,小規模,Web問い合わせ,サンプル依頼,4,21,接触済,0,16.5,高,優先フォロー
A01765,化粧品,大規模,Web問い合わせ,資料請求,3,9,接触済,0,16.5,高,商談状況を確認
A02384,日用品,小規模,営業開拓,情報収集,4,8,接触済,0,16.5,高,商談状況を確認
A00350,研究開発,中規模,紹介,見積依頼,5,84,接触済,0,16.4,高,優先フォロー
A02090,化粧品,小規模,営業開拓,見積依頼,5,79,接触済,0,16.4,高,優先フォロー
A02988,化粧品,小規模,Web問い合わせ,情報収集,5,60,接触済,0,16.4,高,優先フォロー
A02358,日用品,小規模,紹介,見積依頼,3,31,接触済,0,16.4,高,優先フォロー
A01418,食品,中規模,紹介,サンプル依頼,3,13,接触済,0,16.4,高,商談状況を確認
A00992,化粧品,大規模,Web問い合わせ,資料請求,3,10,接触済,0,16.4,高,商談状況を確認
A02602,日用品,小規模,紹介,資料請求,5,72,接触済,0,16.3,高,優先フォロー
A02670,食品,中規模,紹介,情報収集,5,64,接触済,0,16.3,高,優先フォロー
A01409,化粧品,中規模,紹介,見積依頼,3,46,商談,0,16.3,高,優先フォロー
A00508,食品,中規模,展示会,情報収集,5,40,接触済,0,16.3,高,優先フォロー
A02609,その他,中規模,営業開拓,見積依頼,4,29,接触済,0,16.3,高,優先フォロー
A02597,食品,小規模,Web問い合わせ,サンプル依頼,4,24,接触済,0,16.3,高,優先フォロー
A02892,食品,小規模,展示会,サンプル依頼,4,23,接触済,0,16.3,高,優先フォロー
A00603,化粧品,小規模,展示会,サンプル依頼,3,11,接触済,0,16.3,高,商談状況を確認
A02715,化粧品,中規模,Web問い合わせ,サンプル依頼,3,11,接触済,0,16.3,高,商談状況を確認
A00324,日用品,小規模,紹介,資料請求,3,10,接触済,0,16.3,高,商談状況を確認
A01119,日用品,小規模,紹介,資料請求,3,10,接触済,0,16.3,高,商談状況を確認
A01642,日用品,大規模,Web問い合わせ,サンプル依頼,3,9,接触済,0,16.3,高,商談状況を確認
A00698,研究開発,中規模,紹介,資料請求,3,0,接触済,0,16.3,高,商談状況を確認
A01812,その他,大規模,紹介,サンプル依頼,5,113,接触済,0,16.2,高,優先フォロー
A00450,日用品,小規模,展示会,見積依頼,6,72,接触済,0,16.2,高,優先フォロー
A00118,日用品,小規模,紹介,サンプル依頼,4,53,接触済,0,16.2,高,優先フォロー
A01166,食品,中規模,展示会,資料請求,5,43,接触済,0,16.2,高,優先フォロー
A02528,食品,大規模,紹介,サンプル依頼,3,28,接触済,0,16.2,高,優先フォロー
A02266,化粧品,中規模,展示会,見積依頼,3,23,接触済,0,16.2,高,優先フォロー
A02181,研究開発,中規模,展示会,サンプル依頼,4,20,接触済,0,16.2,高,優先フォロー
A02271,化粧品,大規模,営業開拓,資料請求,3,7,接触済,0,16.2,高,商談状況を確認
A00875,化粧品,中規模,展示会,見積依頼,6,87,接触済,0,16.1,高,優先フォロー
A01613,研究開発,中規模,紹介,サンプル依頼,5,76,接触済,0,16.1,高,優先フォロー
A00834,日用品,中規模,紹介,資料請求,6,74,接触済,0,16.1,高,優先フォロー
A00106,化粧品,小規模,展示会,資料請求,5,64,接触済,0,16.1,高,優先フォロー
A00917,化粧品,中規模,展示会,情報収集,5,62,接触済,0,16.1,高,優先フォロー
A01507,食品,小規模,展示会,資料請求,5,45,接触済,0,16.1,高,優先フォロー
A00543,化粧品,大規模,Web問い合わせ,情報収集,4,43,接触済,0,16.1,高,優先フォロー
A01649,化粧品,小規模,営業開拓,情報収集,4,27,接触済,0,16.1,高,優先フォロー
A02896,研究開発,小規模,展示会,情報収集,4,8,接触済,0,16.1,高,商談状況を確認
A00721,化粧品,小規模,紹介,資料請求,5,100,接触済,0,16.0,高,優先フォロー
A02460,化粧品,小規模,紹介,資料請求,6,95,接触済,0,16.0,高,優先フォロー
A01173,化粧品,小規模,Web問い合わせ,見積依頼,5,90,接触済,0,16.0,高,優先フォロー
A01098,化粧品,小規模,展示会,見積依頼,5,89,接触済,0,16.0,高,優先フォロー
A01171,食品,大規模,紹介,サンプル依頼,4,61,接触済,0,16.0,高,優先フォロー
A00723,化粧品,中規模,営業開拓,資料請求,5,60,接触済,0,16.0,高,優先フォロー
A02779,化粧品,小規模,営業開拓,サンプル依頼,4,42,接触済,0,16.0,高,優先フォロー
A00728,食品,中規模,紹介,サンプル依頼,3,18,接触済,0,16.0,高,優先フォロー
A01611,化粧品,大規模,Web問い合わせ,情報収集,3,13,接触済,0,16.0,高,商談状況を確認
A01051,化粧品,小規模,営業開拓,サンプル依頼,3,10,接触済,0,16.0,高,商談状況を確認
A01694,化粧品,小規模,Web問い合わせ,資料請求,3,4,接触済,0,16.0,高,商談状況を確認
A00183,化粧品,小規模,Web問い合わせ,サンプル依頼,5,80,接触済,0,15.9,高,優先フォロー
